,,,,BC1,BC2,BC3,BC4,,RT1,RT2,RT3,RT4,,BC1,BC2,BC3,BC4,,RT1,RT2,RT3,RT4,,avg BC,,,avg RT,,,BC/RT,,
247.1,18.8065,NF09,Succinic acid,66203,93126,165989,212362,,46063,58283,78176,74701,,6.978991429,8.780692269,17.22538942,12.62737397,,1.794239743,1.715410188,2.394746177,1.984325115,,11.40311177,4.540472067,,1.972180306,0.303481548,,5.781982376,0.006045323,"247.1(18.8065,NF09_Succinic acid, 2TMS)"
189.1,19.1171,NF07,Propionic Acid,55548,56451,96278,134015,,51749,60640,79434,76135,,5.855762064,5.32266885,9.991180394,7.968739806,,2.015720045,1.784782421,2.433282182,2.022417272,,7.284587778,2.135757195,,2.06405048,0.269809719,,3.529268227,0.002851217,"189.1(19.1171,NF07_Propionic Acid, 2,3 Hydorxy, O,O,O-TMS)"
184.1,19.3714,Golm,NA),16010,28684,23024,13487,,21676,36958,28239,37338,,1.687743045,2.704565611,2.389299086,0.801957943,,0.844320619,1.087763666,0.86503834,0.991830513,,1.895891421,0.844081605,,0.947238285,0.114141325,,2.00149366,0.067497477,"184.1(19.3714,Golm_NA)"
241.1,19.4698,Golm,Uracil ,15203,19026,26914,34255,,15745,21293,27273,30507,,1.602670675,1.793929205,2.792981046,2.036855442,,0.613297109,0.626704685,0.8354471,0.810374778,,2.056609092,0.522077475,,0.721455918,0.117723797,,2.850637219,0.002478146,"241.1(19.4698,Golm_Uracil (2TMS))"
245.1,19.7831,NF07,Fumaric Acid,17561,19797,33177,48926,,26040,29319,22089,26956,,1.851246446,1.866625484,3.442919379,2.909215862,,1.014306556,0.86292935,0.676646903,0.716047547,,2.517501793,0.791069693,,0.817482589,0.153762631,,3.079578484,0.005567015,"245.1(19.7831,NF07_Fumaric Acid, O,O-TMS)"
204.1,19.9493,NF08,L-Serine,2743748,3051070,4801581,6995934,,2126819,2604259,3175181,4156094,,289.2405748,287.6802049,498.2806243,415.9890889,,82.84356589,76.64966494,97.2645385,110.4006868,,372.7976232,103.0181885,,91.78961404,15.11728221,,4.061435786,0.001667511,"204.1(19.9493,NF08_L-Serine, N,O,O-TMS)"
248.1,19.9981,? Golm,Homoserine ,16905,7774,15078,26890,,3627,3455,5007,4590,,1.782092203,0.732997248,1.564708635,1.598921116,,0.141278413,0.101689038,0.153378199,0.121926778,,1.419679801,0.467631083,,0.129568107,0.022654537,,10.95701582,0.001499168,"248.1(19.9981,? Golm_Homoserine (2TMS))"
188.2,20.0924,NF08,L-Alanine,392125,331323,473020,879657,,365847,394109,489173,505819,,41.33705443,31.23988258,49.08731122,52.30576989,,14.25042284,11.59958468,14.98471618,13.43635755,,43.49250453,9.376357112,,13.56777031,1.456568347,,3.205574942,0.000740947,"188.2(20.0924,NF08_L-Alanine, N,N,O-TMS)"
215.1,20.1453,NF07,Nonanoic Acid TMS),16176,13003,21821,20846,,28140,21257,23461,31716,,1.705242442,1.226030771,2.264458624,1.2395355,,1.096105472,0.625645117,0.718675042,0.842490132,,1.608816834,0.49059757,,0.820728941,0.203943195,,1.960229199,0.025066206,"215.1(20.1453,NF07_Nonanoic Acid TMS)"
255.1,20.1765,? Golm,NA),1055,1554,2656,3168,,3476,3178,4659,4485,,0.111216047,0.146524019,0.275624495,0.188374195,,0.135396682,0.093536255,0.142718001,0.119137604,,0.180434689,0.070864398,,0.122697135,0.021795571,,1.470569694,0.170356204,"255.1(20.1765,? Golm_NA)"
218.1,20.6207,NF08,L-Threonine,757294,901150,1594698,2381655,,543674,684167,858063,1065750,,79.83245979,84.96790197,165.4886411,141.6169011,,21.17711608,20.13669582,26.2848328,28.31012291,,117.976476,42.27216369,,23.9771919,3.945010877,,4.920362504,0.004432166,"218.1(20.6207,NF08_L-Threonine, N,O,O-TMS)"
160.1,21.0853,? Golm,Alanine [+CO2] ,37032,22719,33082,44490,,27461,26067,35131,30508,,3.903841376,2.142135898,3.433060822,2.64544442,,1.069657156,0.767215095,1.076159281,0.810401342,,3.031120629,0.787874231,,0.930858218,0.164991389,,3.256264562,0.001979496,"160.1(21.0853,? Golm_Alanine [+CO2] (2TMS))"
255.1,21.1212,NF09,Thymine,2715,3316,4668,7728,,13605,14995,20513,18203,,0.286210017,0.312660004,0.484418352,0.459518869,,0.529940119,0.441339255,0.628369683,0.483536634,,0.38570181,0.100710205,,0.520796423,0.080327137,,0.740599961,0.080768488,"255.1(21.1212,NF09_Thymine, 2TMS)"
178.1,21.5818,? NF08,L-Methionine,150,362,506,673,,2033,1612,2473,2643,,0.015812708,0.034132365,0.052509787,0.040017624,,0.079189141,0.047445074,0.075754801,0.070207511,,0.035618121,0.01526593,,0.068149132,0.014290124,,0.522649668,0.020810975,"178.1(21.5818,? NF08_L-Methionine, O-TMS)"
160.1,21.7567,NF08,L-Aspartic Acid,29025,25544,28765,36980,,92764,97850,84167,69758,,3.059759017,2.408500347,2.985067243,2.198888169,,3.613330775,2.879963058,2.578267006,1.853021397,,2.663053694,0.424780288,,2.731145559,0.729125343,,0.975068387,0.877086439,"160.1(21.7567,NF08_L-Aspartic Acid, O,O-TMS)"
