Hs,Ht,Gst,Gprime_st,D,loc_id,gene
0,0,NA,NA,0,loc00201,group_6231
0,0,NA,NA,0,loc00202,andAa_1~~~camA~~~andAa_2
0,0,NA,NA,0,loc00203,group_6224
0,0,NA,NA,0,loc00204,group_6223
0,0,NA,NA,0,loc00205,group_6222
0,0,NA,NA,0,loc00206,pcm_3~~~pcm_1
0,0,NA,NA,0,loc00207,group_6217
0,0,NA,NA,0,loc00208,group_6215
0,0,NA,NA,0,loc00209,IMPDH_2~~~hrp1
0,0,NA,NA,0,loc00210,group_6214
0,0,NA,NA,0,loc00211,group_6211
0,0,NA,NA,0,loc00212,group_6209
0,0,NA,NA,0,loc00213,group_6206
0,0,NA,NA,0,loc00214,group_6200
0,0,NA,NA,0,loc00215,group_6199
0,0,NA,NA,0,loc00216,group_6198
0,0,NA,NA,0,loc00217,group_6195
0,0,NA,NA,0,loc00218,bfmBAB~~~dxs_1
0,0,NA,NA,0,loc00219,rnhB
0,0,NA,NA,0,loc00220,paaG_1
0,0,NA,NA,0,loc00221,group_6191
0,0,NA,NA,0,loc00222,group_6190
0,0,NA,NA,0,loc00223,group_6188
0,0,NA,NA,0,loc00224,siaM_4~~~siaM_3
0,0,NA,NA,0,loc00225,treY~~~pcaB
0,0,NA,NA,0,loc00226,group_6186
0,0,NA,NA,0,loc00227,group_6185
0,0,NA,NA,0,loc00228,group_6184
0,0,NA,NA,0,loc00229,group_6183
0,0,NA,NA,0,loc00230,suhB_2~~~suhB_1
0,0,NA,NA,0,loc00231,group_6173
0,0,NA,NA,0,loc00232,group_6172
0,0,NA,NA,0,loc00233,group_6171
0,0,NA,NA,0,loc00234,dddP_2~~~dddP_1~~~dddP
0,0,NA,NA,0,loc00235,napB~~~napA_1~~~napA
0,0,NA,NA,0,loc00236,group_6168
0,0,NA,NA,0,loc00237,tdh_3
0,0,NA,NA,0,loc00238,group_6167
0,0,NA,NA,0,loc00239,group_6166
0,0,NA,NA,0,loc00240,group_6165
0,0,NA,NA,0,loc00241,group_6162
0,0,NA,NA,0,loc00242,group_6161
0,0,NA,NA,0,loc00243,rbsB_4
0,0,NA,NA,0,loc00244,group_6159
0,0,NA,NA,0,loc00245,slyX
0,0,NA,NA,0,loc00246,hilA_1~~~hilA_2
0,0,NA,NA,0,loc00247,rcsC_11~~~rcsC_4
0,0,NA,NA,0,loc00248,ridA~~~rutC_3~~~rutC_1~~~rutC_2
0,0,NA,NA,0,loc00249,group_6157
0,0,NA,NA,0,loc00250,betB_4~~~gbsA
0,0,NA,NA,0,loc00251,betA_4~~~betA_5
0,0,NA,NA,0,loc00252,group_6156
0,0,NA,NA,0,loc00253,group_6155
0,0,NA,NA,0,loc00254,group_6154
0,0,NA,NA,0,loc00255,btuD_10~~~potA_2
0,0,NA,NA,0,loc00256,uvrA_1~~~uvrA_2~~~uvrA
0,0,NA,NA,0,loc00257,cbpA_1~~~cbpA_2~~~dnaJ_3~~~dnaJ_1
0,0,NA,NA,0,loc00258,group_6151
