genome_id,gene,value
g4,apnL_1~~~apnL_2~~~apnL,1
g4,group_5894,1
g4,group_5892,1
g4,group_5891,1
g4,group_5890,1
g4,tlyC,1
g4,pccB_2,1
g4,entS_3~~~entS_1,1
g4,livF_2~~~livF_1~~~btuD_20~~~artM_1,1
g4,group_5889,1
g4,group_5888,1
g4,group_5887,1
g4,infB,1
g4,gsiA_12~~~gsiA_3,1
g4,group_5886,1
g4,alkJ_8~~~betA_3~~~msmX_7,1
g4,nfdA_1~~~nfdA_3,1
g4,menD~~~aruI_2~~~aruI_3,1
g4,rluB_2,1
g4,queC,1
g4,rsmH,1
g4,ino1_2~~~ino1_1~~~ino1,1
g4,group_5885,1
g4,ndmD~~~pcpD~~~ndmD_2,1
g4,tmd,1
g4,lepA_2~~~lepA_1~~~lepA,1
g4,acoR,1
g4,pobA_2~~~pobA_1~~~pobA,1
g4,lly,1
g4,group_5884,1
g4,caiA~~~mmgC_1,1
g4,htpG_1~~~htpG_2~~~htpG,1
g4,agpA_1,1
g4,group_5883,1
g4,group_5882,1
g4,group_5881,1
g4,group_5880,1
g4,group_5879,1
g4,garB_2~~~merA,1
g4,group_5878,1
g4,rbsB_3~~~purR_8~~~rbsC_5~~~purR_5,1
g4,group_5877,1
g4,melA_1~~~melA_2,1
g4,hcaB_4,1
g4,phnG,1
g4,pccB~~~pccB_1,1
g4,bhbA_1~~~bhbA_2,1
g4,gcd_1~~~gcd~~~gcd_2,1
g4,katG_2~~~katG_1~~~katG,1
g4,codA_1~~~codA_2,1
g4,paoC_3~~~paoC_2,1
g4,mshA_12~~~mshA_8~~~mshA_3,1
g4,dmlR_10,1
g4,group_5874,1
g4,cutM_1~~~ndhS,1
g4,xdhA_2~~~yjiA_1,1
g4,group_5873,1
g4,yveL,1
g4,mrcA_1~~~mrcA_2,1
g4,regA~~~rssB_1,1
g4,srmB,1
g4,secD~~~secF,1
g4,group_5872,1
g4,RBKS_2~~~psuK,1
g4,mshA_14~~~mshA_1,1
g4,topA_1~~~topA_2~~~topA,1
g4,ctpF_2~~~ctpF~~~ctpF_1,1
g4,murG_1,1
g4,ileS,1
g4,rimJ,1
g4,cph2,1
g4,soxA_4~~~soxA_3~~~soxA_1,1
g4,cheB_1~~~cheB_7,1
g4,group_5870,1
g4,group_5869,1
g4,pdhS_2~~~pdhS_1~~~pdhS,1
g4,cheB_5~~~cheB_3,1
g4,group_5867,1
g4,dmdC_3~~~dmdC_2~~~dmdC_1,1
g4,yfhM,1
g4,group_5865,1
g4,group_5864,1
g4,group_5857,1
g4,rlmB_1,1
g4,group_5836,1
g4,cueO_1,1
g4,ynjB,1
g4,group_5834,1
g4,group_5831,1
g4,group_5829,1
g4,kup_5~~~kup_2~~~kup_4,1
g4,alsT_2~~~alsT_1,1
g4,fixN_3~~~fixN_4~~~fixN_2,1
g4,group_5826,1
g4,group_5825,1
g4,ilvG,1
g4,group_5819,1
g4,ros_2~~~ros_1,1
g4,group_5816,1
g4,yesO_1~~~yesO_2,1
g4,group_5814,1
g4,nudC,1
g4,group_5813,1
g4,tap,1
g4,mtgA_2~~~pbpG,1
g4,group_5812,1
g4,group_5809,1
g4,group_5807,1
g4,yjcS_2~~~yjcS~~~yjcS_1,1
g4,group_5806,1
g4,group_5805,1
g4,group_5804,1
g4,group_5803,1
g4,group_5802,1
g4,group_5796,1
g4,group_5795,1
g4,kce_2~~~kce_1,1
g4,group_5794,1
g4,proS,1
g4,group_5793,1
g4,group_5792,1
g4,group_5791,1
g4,group_5790,1
g4,acsA_2~~~acsA_3,1
g4,ndhM~~~xdhA_1,1
g4,group_5788,1
g4,nifB~~~moaA_2,1
g4,nifK_1,1
g4,copA_2~~~copA_1~~~kdpB_1,1
g4,yvgN,1
g4,group_5784,1
g4,pncB,1
g4,dusA,1
g4,ynhG,1
g4,group_5783,1
g4,fabF_1~~~fabF_2~~~fabF_3,1
g4,group_5782,1
g4,group_5781,1
g4,group_5780,1
g4,group_5778,1
g4,group_5777,1
g4,trkI_2~~~trkI_1,1
g4,group_5775,1
g4,ccpA_4~~~cytR_2,1
g4,fdhD,1
g4,ves,1
g4,potA_11~~~potA_7~~~btuD_16,1
g4,mutL_1~~~mutL_2~~~mutL_3~~~mutL,1
g4,cysQ_1~~~cysQ_4,1
g4,group_5769,1
g4,group_5768,1
g4,group_5767,1
g4,group_5765,1
g4,dat_1~~~dat_2,1
g4,group_5763,1
g4,group_5762,1
g4,group_5760,1
g4,group_5759,1
g4,hemS,1
g4,group_5757,1
g4,group_5756,1
g4,group_5755,1
g4,group_5754,1
g4,group_5753,1
g4,atoC_1,1
g4,group_5749,1
g4,thiO,1
g4,arcA_3~~~arcA_1,1
g4,group_5748,1
g4,pgsA,1
g4,hemF,1
g4,group_5744,1
g4,glnT_1~~~glnT_2,1
g4,gntZ~~~gndA,1
g4,hisC_5~~~hisC_3,1
g4,group_5742,1
g4,group_5741,1
g4,tdh_1~~~qorA_1,1
g4,group_5740,1
g4,pnp_1~~~pnp_2~~~pnp,1
g4,group_5738,1
g4,group_5737,1
g4,group_5735,1
g4,divK_2~~~divK_1,1
g4,group_5734,1
g4,group_5728,1
g4,group_5724,1
g4,napF,1
g4,iscS~~~nifS,1
g4,rpoC_2~~~rpoC_1~~~rpoC,1
g4,group_5721,1
g4,cmoB_2,1
g4,nuoJ_1,1
g4,galE_2~~~galE_1~~~galE_5,1
g4,group_5715,1
g4,mfd_1~~~mfd_2~~~mfd,1
g4,rarA_1~~~rarA_2~~~rarA,1
g4,group_5713,1
g4,glnII_1~~~glnII_2~~~glnII,1
g4,mdtD~~~ribZ,1
g4,glmU_1,1
g4,group_5712,1
g4,group_5711,1
g4,malK_4~~~lacZ~~~lacZ_1~~~lacZ_2,1
g4,cpdA_3~~~cpdA_2,1
g4,group_5710,1
g4,yfkN~~~yfkN_2~~~cpdB~~~yfkN_1,1
g4,group_5709,1
g4,fpgS,1
g4,addA,1
g4,group_5705,1
g4,group_5704,1
g4,group_5703,1
g4,andAa_2,1
g4,petC,1
g4,group_5700,1
g4,group_5699,1
g4,acoC~~~pdhC_2~~~menH_2,1
g4,group_5698,1
g4,cytR_2~~~cytR_1,1
g4,tesB,1
g4,glnA_1~~~glnA_2,1
g4,soxB_2,1
g4,group_5696,1
g4,group_5695,1
g4,mdtI~~~hcaB_6~~~hcaB_3,1
g4,yfcA_2~~~yfcA_1,1
g4,mrpD_1~~~mrpD_2,1
g4,group_5693,1
g4,group_5692,1
g4,uvrB,1
g4,dmg,1
g4,pheT_1~~~pheT_2~~~pheT,1
g4,atpB_2~~~atpB,1
g4,group_5689,1
g4,group_5688,1
g4,hmuV,1
g4,miaA,1
g4,murR,1
g4,yjbI,1
g4,isdG,1
g4,yfkN_2,1
