gene,non_unique_gene_name,annotation,from
ecfG_3,;ecfG_3,hypothetical protein;ECF RNA polymerase sigma factor EcfG,ecfG
oiaK,;oiaK,hypothetical protein;3-oxo-isoapionate kinase,oiaK
ureF,ureF,Urease accessory protein UreF,ureF
xynR_2,;xynR_2,hypothetical protein;HTH-type transcriptional regulator XynR,xynR
livH_5,;livH_5,hypothetical protein;High-affinity branched-chain amino acid transport system permease protein LivH,livH
mhqA,mhqA,Putative ring-cleaving dioxygenase MhqA,mhqA
cysE,;cysE,hypothetical protein;Serine acetyltransferase,cysE
ispB_1,;ispB_1,Farnesyl diphosphate synthase;Octaprenyl diphosphate synthase,ispB
ung,ung,Uracil-DNA glycosylase,ung
otsA,;otsA,hypothetical protein;Trehalose-6-phosphate synthase,otsA
mnmA,mnmA,tRNA-specific 2-thiouridylase MnmA,mnmA
deoA,deoA,Thymidine phosphorylase,deoA
mlc,mlc,Protein mlc,mlc
occM_2,occM_2;,Octopine transport system permease protein OccM;hypothetical protein,occM
yxeN,yxeN;,putative amino-acid permease protein YxeN;hypothetical protein,yxeN
sctC_2,sctC_2,Type 3 secretion system secretin,sctC
minC,minC,septum site-determining protein MinC;Septum site-determining protein MinC,minC
hemE,hemE,Uroporphyrinogen decarboxylase,hemE
algE5,;algE5,hypothetical protein;Mannuronan C5-epimerase AlgE5,algE5
ugpC_5,;ugpC_5,hypothetical protein;sn-glycerol-3-phosphate import ATP-binding protein UgpC,ugpC
oatA,oatA,O-acetyltransferase OatA,oatA
ycdX,;ycdX,hypothetical protein;phosphatase YcdX,ycdX
crp_1,crp_1,cAMP-activated global transcriptional regulator CRP,crp
davD_2,davD_2,Glutarate-semialdehyde dehydrogenase,davD
proX_1,proX_1;,Glycine betaine/proline betaine-binding periplasmic protein;hypothetical protein,proX
btuD_18,;btuD_18,hypothetical protein;Vitamin B12 import ATP-binding protein BtuD,btuD
ygaZ_2,;ygaZ_2,hypothetical protein;Inner membrane protein YgaZ,ygaZ
pcaR,pcaR,Pca regulon regulatory protein,pcaR
rlmL,rlmL,Ribosomal RNA large subunit methyltransferase K/L,rlmL
pksS,pksS,Polyketide biosynthesis cytochrome P450 PksS,pksS
braC,braC,Leucine- isoleucine- valine- threonine- and alanine-binding protein,braC
yfiC,yfiC,tRNA1(Val) (adenine(37)-N6)-methyltransferase,yfiC
gltX_2,gltX_2,Glutamate--tRNA ligase,gltX
arg,arg,Arginase,arg
cysQ_3,;cysQ_3,hypothetical protein;3'(2')5'-bisphosphate nucleotidase CysQ,cysQ
gno_4,gno_4;,Gluconate 5-dehydrogenase;Sulfoquinovose 1-dehydrogenase,gno
ugpB,ugpB,sn-glycerol-3-phosphate-binding periplasmic protein UgpB,ugpB
allE,;allE,hypothetical protein;(S)-ureidoglycine aminohydrolase,allE
ybjJ,ybjJ;,Inner membrane protein YbjJ;hypothetical protein,ybjJ
phnI,phnI,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI,phnI
argO,argO,Arginine exporter protein ArgO,argO
iolB,iolB,5-deoxy-glucuronate isomerase,iolB
rluD,rluD,Ribosomal large subunit pseudouridine synthase D,rluD
sgrR_2,sgrR_2,HTH-type transcriptional regulator SgrR,sgrR
moaA,moaA,GTP 3'8-cyclase,moaA
nirK,nirK;,Copper-containing nitrite reductase;hypothetical protein,nirK
dppA_1,dppA_1;,Periplasmic dipeptide transport protein;hypothetical protein,dppA
lapB,lapB,Lipopolysaccharide assembly protein B,lapB
paaA,paaA,12-phenylacetyl-CoA epoxidase subunit A,paaA
queF,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase,queF
dgoA,dgoA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,dgoA
dprE1,dprE1,Decaprenylphosphoryl-beta-D-ribose oxidase,dprE1
bigR,;bigR,hypothetical protein;Biofilm growth-associated repressor,bigR
rnc,rnc,Ribonuclease 3,rnc
pqqA,;pqqA,hypothetical protein;Coenzyme PQQ synthesis protein A,pqqA
cynR,;cynR,hypothetical protein;HTH-type transcriptional regulator CynR,cynR
pksJ,pksJ,Polyketide synthase PksJ,pksJ
hslU,hslU,ATP-dependent protease ATPase subunit HslU,hslU
bdcA,bdcA,Cyclic-di-GMP-binding biofilm dispersal mediator protein,bdcA
dauA,dauA,FAD-dependent catabolic D-arginine dehydrogenase DauA,dauA
zapE,zapE,Cell division protein ZapE,zapE
adh1_1,adh1_1,Long-chain-alcohol dehydrogenase 1,adh1
rbsC_13,;rbsC_13,hypothetical protein;Ribose import permease protein RbsC,rbsC
cdd,cdd,Cytidine deaminase,cdd
ihfA,ihfA,Integration host factor subunit alpha,ihfA
ureD,ureD,Urease accessory protein UreD,ureD
apbC,apbC,Iron-sulfur cluster carrier protein,apbC
pspA,pspA,Phosphoserine phosphatase 1,pspA
hcaT,hcaT,putative 3-phenylpropionic acid transporter,hcaT
gyrA,gyrA,DNA gyrase subunit A,gyrA
glaR,;glaR,hypothetical protein;HTH-type transcriptional repressor GlaR,glaR
acoA_2,acoA_2,Acetoin:26-dichlorophenolindophenol oxidoreductase subunit alpha,acoA
cckA,cckA,Sensor kinase CckA,cckA
cobT,cobT,Aerobic cobaltochelatase subunit CobT,cobT
lptD,lptD;,LPS-assembly protein LptD;hypothetical protein,lptD
mcm,mcm,Methylmalonyl-CoA mutase,mcm
maiA,maiA,Maleate isomerase,maiA
otnC,otnC,3-oxo-tetronate 4-phosphate decarboxylase,otnC
argD_2,argD_2,Acetylornithine/succinyldiaminopimelate aminotransferase,argD
metAA,metAA,Homoserine O-acetyltransferase,metAA
yjiA_2,yjiA_2,P-loop guanosine triphosphatase YjiA,yjiA
ngcG_5,;ngcG_5,hypothetical protein;Diacetylchitobiose uptake system permease protein NgcG,ngcG
mraZ,mraZ,Transcriptional regulator MraZ,mraZ
pssM,;pssM,hypothetical protein;Exopolysaccharide glucosyl ketal-pyruvate-transferase,pssM
rutB_4,;rutB_4,hypothetical protein;Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,rutB
ruvC,ruvC,Crossover junction endodeoxyribonuclease RuvC,ruvC
hepA,;hepA,hypothetical protein;Heterocyst differentiation ATP-binding protein HepA,hepA
polA,polA,DNA polymerase I,polA
znuC,znuC,Zinc import ATP-binding protein ZnuC,znuC
rspR_6,;rspR_6,hypothetical protein;HTH-type transcriptional repressor RspR,rspR
epmA,epmA,Elongation factor P--(R)-beta-lysine ligase,epmA
ybeY,ybeY,Endoribonuclease YbeY,ybeY
mshA_15,;mshA_15,hypothetical protein;D-inositol-3-phosphate glycosyltransferase,mshA
xerC_12,;xerC_12,hypothetical protein;Tyrosine recombinase XerC,xerC
fabZ,;fabZ,hypothetical protein;3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,fabZ
yohF,yohF;,putative oxidoreductase YohF;3-beta-hydroxycholanate 3-dehydrogenase (NADP(+)),yohF
gntR_1,;gntR_1,hypothetical protein;putative D-xylose utilization operon transcriptional repressor,gntR
gpsA,;gpsA,hypothetical protein;Glycerol-3-phosphate dehydrogenase [NAD(P)+],gpsA
recO,recO,DNA repair protein RecO,recO
aroC,aroC,Chorismate synthase,aroC
murD,;murD,hypothetical protein;UDP-N-acetylmuramoylalanine--D-glutamate ligase,murD
phnH,phnH,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH,phnH
mhqD,mhqD,Putative hydrolase MhqD,mhqD
lexA_2,lexA_2,LexA repressor,lexA
fghA_1,fghA_1,S-formylglutathione hydrolase,fghA
eis,eis,N-acetyltransferase Eis,eis
phnN,phnN,Ribose 15-bisphosphate phosphokinase PhnN,phnN
gltI,;gltI,hypothetical protein;Glutamate/aspartate import solute-binding protein,gltI
rne,rne;,Ribonuclease E;hypothetical protein,rne
cutC,cutC,Copper homeostasis protein CutC,cutC
lcdH,lcdH,L-carnitine dehydrogenase,lcdH
mshA_7,;mshA_7,hypothetical protein;D-inositol-3-phosphate glycosyltransferase,mshA
amiR,;amiR,hypothetical protein;Aliphatic amidase regulator,amiR
