gene,g4,g5,g6,g8,g9,g11,g13,g16,g17,g19
group_5490-hyuA_1-lasR,0,0,1,0,0,0,1,0,0,1
group_4051-hipA_1-group_5208,1,1,1,1,1,1,1,1,1,0
tdiR_1-todT_2-sasA_1,0,0,1,0,1,1,1,1,1,0
tdiR_1-todT_2-group_4668,1,1,0,1,0,0,0,0,0,0
group_3154-group_3976-group_4673,1,1,0,1,1,0,0,0,0,0
group_3154-group_3976-group_4951,0,0,1,0,0,0,1,1,1,0
xerD_1~~~xerC_5-group_3649-group_6071,1,1,0,1,1,1,1,0,0,0
group_418-sasA_3-group_6071,1,1,0,1,1,1,1,1,1,0
sasA_3-group_418-group_3751,1,1,0,1,1,1,1,1,1,0
group_928-group_2598-group_6158,1,0,0,1,1,1,1,1,1,0
group_928-group_2598-golD_2~~~golD,0,1,1,0,0,0,0,0,0,0
group_2598-group_928-group_6135,1,1,1,0,1,1,1,1,1,0
group_1736-group_998-group_6135,1,1,1,1,1,0,1,1,1,0
group_998-group_1736-yphB,1,1,1,1,1,0,1,1,1,0
ugpC_7-sugC_2-group_5275,1,1,0,0,0,0,0,0,0,0
ugpC_7-sugC_2-serA_2~~~serA_1,0,0,1,0,1,1,1,1,1,1
group_2192-group_213-fixP_2,0,0,0,1,1,0,1,0,0,0
group_2192-group_213-ccoP,1,1,1,0,0,1,0,1,1,1
fixT_1-group_3082-fixN_2,0,1,1,0,0,0,0,0,1,0
fixT_1-group_3082-fixN_3~~~fixN_4~~~fixN_2,1,0,0,1,1,1,0,0,0,1
group_4654-nodD2_1-group_5734,1,1,1,0,1,0,1,0,1,1
group_5734-nodD2_1-group_6405,0,0,0,1,0,0,0,1,0,0
group_1197-group_1825-group_2778,1,1,1,1,1,1,1,1,0,0
group_1197-group_1825-group_3054,0,0,0,0,0,0,0,0,1,1
group_2778-group_3054-group_4687,1,1,1,1,1,1,1,1,0,0
group_1825-group_3054-group_4687,0,0,0,0,0,0,0,0,1,1
group_3788-group_4418-group_2813,1,1,0,0,1,0,0,0,0,0
group_3788-group_4418-group_3094,0,0,1,1,0,1,1,1,1,1
group_4418-group_2813-group_3582,1,1,0,0,1,0,0,0,0,0
group_3582-group_2813-group_3094,0,0,1,1,0,1,1,1,1,1
group_2813-group_3582-group_5460,1,1,1,1,1,0,1,1,1,1
group_4006-group_1478-group_5814,1,1,1,1,1,0,0,0,0,0
group_5460-group_1478-group_5814,0,0,0,0,0,0,1,1,1,1
group_3899-group_4267-group_4357,0,0,1,0,0,1,1,1,1,1
group_3899-group_4267-group_5810,1,1,0,0,0,0,0,0,0,0
group_1992-group_4267-group_5810,0,0,0,1,1,0,0,0,0,0
group_3899-group_1992-group_3885,1,1,1,0,0,1,1,1,1,1
group_3885-group_1992-group_4267,0,0,0,1,1,0,0,0,0,0
group_1992-group_3885-group_1658,1,0,1,1,0,1,1,1,1,1
group_1658-group_1592-group_4689,1,0,1,1,0,1,1,1,1,1
group_4650-group_287-fdhL_2~~~fdhL~~~fdhL_1,0,0,0,0,0,0,0,1,1,1
group_4693-group_287-fdhL_2~~~fdhL~~~fdhL_1,1,1,1,1,1,1,1,0,0,0
ipdC_1-group_1218-group_5356,1,1,1,1,1,1,1,0,0,1
group_4987-group_1218-group_5356,0,0,0,0,0,0,0,1,1,0
group_1218-ipdC_1-group_4466,1,1,1,1,1,1,1,0,0,1
group_4466-ipdC_1-group_4987,0,0,0,0,0,0,0,1,1,0
group_2112-group_3627-group_5542,0,0,0,0,0,1,1,0,0,0
group_2112-group_3627-group_6248,1,1,0,0,1,0,0,0,0,0
group_2112-group_3627-group_6273,0,0,1,1,0,0,0,0,0,0
group_2949-group_650-group_5259,1,1,1,1,0,1,1,0,0,0
group_4224-group_650-group_4419,0,0,0,0,0,0,0,1,0,1
group_3339-group_4419-group_5259,1,1,1,1,0,1,0,0,0,0
group_650-group_4419-group_5741,0,0,0,0,0,0,0,1,0,1
group_5259-group_4419-group_5741,0,0,0,0,0,0,1,0,1,0
group_4639-group_4477-ros_3~~~ros_2,1,1,1,1,1,1,0,0,0,0
group_6155-group_4477-ros_3~~~ros_2,0,0,0,0,0,0,0,1,1,1
group_3320-group_4136-group_5498,0,0,0,0,0,0,0,1,1,1
dgkA-group_4136-group_5498,1,1,1,1,1,1,1,0,0,0
eptA-group_4459-group_5817,0,0,0,1,1,0,0,0,0,0
eptA-group_4459-group_5978,1,1,1,0,0,1,1,0,0,0
eptA-group_4459-group_6287,0,0,0,0,0,0,0,1,1,1
group_3870-group_3083-group_4691,0,0,0,0,0,0,0,1,1,0
group_3870-group_3083-group_4710,1,1,0,0,0,0,0,0,0,0
group_3870-group_3083-kup_5~~~kup_2~~~kup_4,0,0,1,1,1,1,1,0,0,0
group_4007-ipdC_2-group_4694,1,1,1,1,1,1,0,1,1,0
group_4382-group_1479-group_5461,1,1,1,1,0,1,1,1,1,1
group_4285-group_4137-group_5776,0,1,1,0,0,0,0,0,0,0
group_4285-group_4137-group_6400,1,0,0,1,1,1,1,0,0,0
group_4285-group_2424-group_3583,1,1,1,1,1,1,1,1,0,1
group_3302-group_2005-group_4733,1,0,0,0,1,1,0,1,1,0
group_4733-group_2005-group_6235,0,1,1,1,0,0,1,0,0,1
group_4738-group_4109-group_4740,1,0,1,1,1,1,1,1,1,1
group_4460-group_3752-groL1_3,1,0,0,1,1,0,0,0,0,0
group_4460-group_3752-group_4745,0,0,0,0,0,0,0,1,1,0
group_4707-group_16-group_5035,1,0,0,0,0,0,0,1,1,1
glpE-group_1780-group_4611,0,0,0,0,1,0,0,0,0,1
glpE-group_1780-group_4612,0,1,0,0,0,0,0,1,1,0
group_4758-group_545-group_5230,1,0,0,0,1,0,0,1,1,1
group_4759-group_545-group_5230,0,1,0,1,0,0,0,0,0,0
group_4329-group_3531-group_4758,0,1,0,1,0,0,0,1,1,0
group_4329-group_3531-group_4759,1,0,0,0,0,0,0,0,0,1
group_3531-group_4329-group_3193,1,1,0,1,0,0,0,1,1,1
group_3207-group_1341-group_4699,1,1,0,1,0,0,0,0,0,0
group_3207-group_1341-group_6286,0,0,0,0,0,0,0,1,1,0
group_3207-group_1358-group_5834,1,1,0,1,0,0,0,1,1,0
group_3843-group_1358-group_5834,0,0,1,0,0,1,1,0,0,0
group_4764-group_4206-group_5804,1,1,0,1,0,0,0,1,1,1
group_1517-group_3303-group_6236,1,1,0,1,1,0,0,1,1,1
group_2256-group_3303-group_6236,0,0,1,0,0,1,1,0,0,0
group_3303-group_1517-group_3035,1,1,0,1,1,0,0,1,1,1
group_3035-group_1517-group_4358,0,0,1,0,0,1,1,0,0,0
