from,gene,non_unique_gene_name,annotation
pntM,pntM,pntM,Pentalenolactone synthase
msrA3,msrA3,msrA3,Peptide methionine sulfoxide reductase MsrA 3
tgnD,tgnD_2,tgnD_2,(E)-2-((N-methylformamido)methylene)succinate hydrolase
ohrA,ohrA,ohrA,Organic hydroperoxide resistance protein OhrA
pnpB,pnpB,pnpB,p-benzoquinone reductase
apc4,apc4_2,apc4_2,Acetophenone carboxylase delta subunit
spo0F,spo0F,spo0F,Sporulation initiation phosphotransferase F
pla,pla,pla,Coagulase/fibrinolysin
aam,aam,aam,Acylamidase
lig,lig_1,lig_1,DNA ligase
nhaX,nhaX,nhaX,Stress response protein NhaX
avrRpt2,avrRpt2,avrRpt2,Cysteine protease avirulence protein AvrRpt2
nopP,nopP,nopP,Effector protein NopP
rip3,rip3_1,rip3_1,Putative zinc metalloprotease Rip3
scmP,scmP_1,scmP_1,N-acetylcysteine deacetylase
yknX,yknX,yknX,Putative efflux system component YknX
RBKS,RBKS_1,RBKS_1,Ribokinase
griI,griI,griI,2-amino-45-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase
tauE,tauE,tauE,putative sulfite/organosulfonate exporter TauE
lacD,lacD,lacD,Tagatose 16-diphosphate aldolase
alr1,alr1,alr1,Alanine racemase 1
dadD,dadD,dadD,5'-deoxyadenosine deaminase
tfdB,tfdB,tfdB,24-dichlorophenol 6-monooxygenase
racX,racX,racX,Broad specificity amino-acid racemase RacX
anoR,anoR,anoR,Transcriptional activator protein AnoR
atsK,atsK,atsK,Alpha-ketoglutarate-dependent sulfate ester dioxygenase
vanC,vanC,vanC,Vancomycin C-type resistance protein VanC
penM,penM,penM,Pentalenolactone synthase
yclN,yclN,yclN,Petrobactin import system permease protein YclN
higA2,higA2,higA-2,Antitoxin HigA-2
hpatpa,hpatpa,hpa/tpa,Hypotaurine/taurine--pyruvate aminotransferase
ala,ala,ala,Alanine dehydrogenase
nocT,nocT,nocT,Nopaline-binding periplasmic protein
fdhB1,fdhB1,fdhB1,Formate dehydrogenase iron-sulfur subunit
tupB,tupB,tupB,Tungstate uptake system permease protein TupB
tupC,tupC,tupC,Tungstate uptake system ATP-binding protein TupC
tupA,tupA,tupA,Tungstate-binding protein TupA
yclQ,yclQ,yclQ,Petrobactin-binding protein YclQ
yclO,yclO,yclO,Petrobactin import system permease protein YclO
vanA,vanA,vanA,Vancomycin/teicoplanin A-type resistance protein VanA
tfdD,tfdD,tfdD,Chloromuconate cycloisomerase
safD,safD,safD,Sulfoacetaldehyde dehydrogenase
nylA,nylA_2,nylA_2,6-aminohexanoate-cyclic-dimer hydrolase
tycC,tycC,tycC,Tyrocidine synthase 3
