gene,sequence_length
fabG_7,738
fabG_8,780
fabG_9,774
fabH,972
fabI_1,819
fabI_2,807
fabZ,465
fadA_2,1209
fadB,786
fadD,1701
fadJ_2~~~fadB_2,1447
fadJ_2~~~fadJ,2214
fbaA,1044
fbcH,1281
fbcH_2,906
fbp,1050
fcl,1222
fdhC_2,633
fdoG_1,600
fdoH,994
fdoI,687
fdxA,339
fdxB,319
fdxE,321
fecE_1,762
fecE_1~~~fecE_2,801
fecI,558
fecR,1065
ffh,1542
fgd,1050
fgd1,987
fghA_1,831
fghA_2,834
fhs,1734
fhuA_2~~~fhuA_1~~~fhuA_3,2422
fieF,921
fitB_1,414
fixJ_2,615
fixK_1,753
fixK_2~~~fixK_1~~~fixK_4~~~fixK_3,636
fixK_3~~~fixK_4,636
fixK_4~~~fixK_3~~~fixK_2,637
fixL,1518
fixN_1~~~fixN_3,1621
fixP_1~~~petJ~~~ccoP_2,987
fixP_3~~~fixP_2,882
fixX,297
flbT,450
flgC,420
flgF,726
flgG,789
flgH,711
flgI,1116
flhA_1,1128
flhA_1~~~flhA_3,2088
flhA_2,1128
flhB,1083
fliC,966
fliE,336
fliF,1818
fliG,1038
fliP,738
fliY_3,828
fliY_3~~~fliY_1,939
fliY_3~~~fliY_4,819
fmdA,945
fmt_1~~~fmt_2,936
fmt_2~~~fmt_1,939
fni_1,1329
fnr~~~anr,681
folB,372
folD_1,918
folE,615
folK,525
folP,852
fpgS,1344
fpr,814
frcA_2,741
frcA_5~~~frcA_3,804
frcA_6~~~frcA_5,732
frcA_7,738
frcB,1026
frcC,1083
frc~~~yfdE,1162
frlB,1014
frlD,813
frmR,333
frr,561
fruK,1518
fruK_1~~~rbsA_3,1494
fsr,1197
ftcR,672
ftsA,1330
ftsE,625
ftsH_2,1938
ftsI_1,1749
ftsQ,930
ftsW,1155
ftsZ_1,1773
ftsZ_1~~~ftsZ_2,1041
fucA~~~ald2_1,844
fucK_2,1389
fucK_2~~~fucK_1,1473
fucU_2,429
fucU_2~~~fucU_1,495
fur,429
fusA_1,1962
fusA_2,2100
futA1,1044
fzlA,669
fzlC,1686
gabD_1,1476
gabD_1~~~betB_4~~~betB_5,2544
gabD_2~~~gabD_3~~~gabD_1,1497
galE_1,987
galE_1~~~galE_4,981
galE_2,987
gamR_2,732
gamR_2~~~gamR_1,810
gap,1011
garB,1392
garR_1,888
gatA,1503
gatB,1593
gatD,1059
gbpR_1,942
gbpR_1~~~gbpR_2,996
gbsA_1~~~betB_7,1515
gcd,2335
gci_1,1170
gcl,1785
gcvA_1,900
gcvA_11~~~gcvA_5,972
gcvA_12,948
gcvA_2,903
gcvA_3,1044
gcvA_4,1024
gcvA_6,894
gcvA_7,948
gcvA_8,888
gcvH,363
gcvP,2865
gcvT_1,1140
gcvT_3,1134
gdhB~~~gdh_3~~~gdh_4,4789
gdhIV,766
gdh_1,771
gdh_2,795
gdh_3,774
gdx,315
gfa,570
ggt,1746
ghrA_1,960
ghrA_2,924
ghrB,1047
glcB,2301
gldA,1095
glgA1_1,1461
glgA1_1~~~glgA1_2,1443
glgB,2211
glgB_2~~~treZ,1807
glgC,1263
glgX_1,2097
glgX_2~~~glgX_1,1989
glk,1020
glmM,1353
glmS,1023
glmU_1,1617
glmU_2,1371
glnA_1,1296
glnA_2,1410
glnB,339
glnD,2850
glnG,1365
glnH_1~~~glnH_3,885
glnII,1035
glnK,339
glnL,1150
glnM_1,972
glnP_1,664
glnQ_1,786
glnQ_2,723
glnQ_3,777
glnQ_4,756
glnQ_4~~~btuD_1~~~glnQ_6~~~glnQ_5,985
glnT,1308
gloA,591
gloB_1,909
gloB_2,771
gloC,642
glpK,1494
glpR_1,837
glpR_2,786
glpR_3,765
glsA,948
gltD_2,1458
gltI,942
gltR~~~hdfR_3,849
gltX_2,897
gltX_2~~~gltX_1,1527
glxR_1,885
glxR_3,882
glyA2,1296
glyQ,963
glyS,2166
gmk,660
gndA,1431
gnl_2,915
gno_1,750
gno_3,768
gntK,612
gntR~~~purR_2,1057
golD_1,750
golD_2,765
golD_3,726
gph_1,675
gph_2,684
gph_3,666
gph_4,711
gpmA_2,636
gpmA_2~~~gpmA_1,627
gppA_1,1524
gppA_2,1341
gpr,1029
gpsA,1003
gpt,528
gpuA,1059
greA,477
greB,483
groL1_2,1638
groL2,1629
groL5_1,1629
groS1_1,297
groS1_3~~~groS1_4,318
groS5,315
group_10,3180
group_1000,849
group_1001,849
group_1004,846
group_1005,846
group_1007,843
group_1008,843
group_1009,843
group_1010,843
group_1015,840
group_1017,837
group_1018,837
group_1019,837
group_102,1872
group_1023,834
group_1024,834
group_1025,834
group_1028,831
group_1029,831
group_1030,831
group_1032,831
group_1036,828
group_1037,828
group_1038,828
group_1039,828
group_1040,825
group_1041,825
group_1045,822
group_1046,822
group_1048,822
group_1054,819
group_1055,819
group_1056,819
group_1061,816
group_1062,816
group_1064,816
group_1067,813
group_1068,813
group_1070,813
group_1071,813
group_1072,813
group_1073,813
group_1080,810
group_1081,810
group_1082,810
group_1083,810
group_1084,810
group_1085,810
group_1086,810
group_109,1827
group_1094,804
group_1095,804
group_1096,804
group_1097,804
group_1099,801
group_1107,798
group_1108,798
group_1109,798
group_111,1818
group_1110,795
group_1111,795
group_1112,795
group_1113,795
group_1114,795
group_112,1815
group_1120,792
group_1121,792
group_1122,792
group_1123,792
group_1129,789
group_113,1815
group_1130,789
group_1131,789
group_1135,786
group_1136,786
group_1137,786
group_114,1815
group_1141,783
group_1142,783
group_1143,783
group_1150,780
group_1151,780
group_1157,777
group_1166,774
group_1168,774
group_1169,774
group_117,1803
group_1172,771
group_1173,771
group_1175,771
group_1176,771
group_1177,771
group_1178,771
group_1182,768
group_1183,768
group_1187,765
group_1194,762
group_1195,762
group_1196,762
group_1199,759
group_1201,759
group_1211,753
group_1213,753
group_1215,753
group_122,1770
group_1223,750
group_1227,750
group_1228,747
group_1229,747
group_1231,744
group_1232,744
group_1233,744
group_1234,744
group_1241,741
group_1242,741
group_1249,738
group_1250,738
group_1255,735
group_1256,735
group_1259,732
group_126,1737
group_1260,732
group_1261,732
group_1262,732
group_1263,732
group_1270,729
group_1272,729
group_1273,729
group_1275,729
group_1278,726
group_1279,726
group_1280,726
group_1283,726
group_1284,726
group_1290,723
group_1291,723
group_1292,723
group_1299,720
group_130,1725
group_1304,717
group_1305,717
group_1307,717
group_131,1725
group_1314,714
group_1319,711
group_132,1722
group_1320,711
group_1321,711
group_1326,708
group_1327,708
group_1329,708
group_133,1722
group_1335,705
group_1336,705
group_1337,705
group_1343,702
group_1344,702
group_1348,702
group_1352,700
group_1353,699
group_1354,699
group_1355,699
group_1358,696
group_1359,696
group_136,1710
group_1367,693
group_1376,690
group_1377,690
group_1378,690
group_1379,687
group_1381,687
group_1386,684
group_1387,684
group_139,1695
group_1392,681
group_1400,678
group_1401,678
group_1403,678
group_1404,678
group_141,1683
group_1414,675
group_1415,675
group_142,1671
group_1421,672
group_1422,672
group_1425,669
group_1428,669
group_143,1665
group_1437,666
group_1438,666
group_1440,666
group_1441,666
group_1445,663
group_1446,663
group_1447,663
group_1451,660
group_1452,660
group_1453,660
group_1454,660
group_1455,660
group_1456,660
group_1460,657
group_1471,651
group_1472,651
group_1481,648
group_1482,648
group_1486,645
group_1487,645
group_1488,645
group_1489,645
group_1490,645
group_1497,642
group_1498,642
group_150,1647
group_1500,642
group_1501,642
group_1502,642
group_1503,642
group_1506,639
group_1508,639
group_1513,636
group_1514,636
group_1515,636
group_1516,636
group_1517,636
group_152,1641
group_1526,633
group_1534,630
group_1535,630
group_1536,630
group_1540,627
group_1541,627
group_1543,627
group_1549,624
group_1550,624
group_1551,621
group_1552,621
group_1553,621
group_1554,621
group_1556,621
group_1557,621
group_1568,618
group_1569,618
group_1570,618
group_1575,615
group_1577,615
group_1579,615
group_1580,615
group_1585,609
group_1586,609
group_1587,609
group_1588,609
group_1589,609
group_1593,606
group_1594,606
group_1601,603
group_1608,600
group_1609,600
group_161,1617
group_1610,600
group_1611,600
group_162,1614
group_1621,597
group_1622,597
group_1632,594
group_1633,594
group_1634,594
group_1635,594
group_164,1608
group_1640,591
group_1641,591
group_1642,591
group_1643,591
group_1648,588
group_1649,588
group_1650,588
group_1658,585
group_1659,585
group_1660,585
group_1672,582
group_1673,582
group_1674,582
group_1675,582
group_1680,579
group_1681,579
group_1682,579
group_1683,579
group_1684,579
group_1691,576
group_1692,576
group_1693,576
group_1697,573
group_1698,573
group_1699,573
group_1700,573
group_1702,570
group_1705,570
group_1716,567
group_1717,567
group_1718,567
group_1728,564
group_1729,564
group_1730,564
group_1732,564
group_1741,561
group_1742,561
group_1743,561
group_1744,561
group_1746,561
group_1756,558
group_1758,558
group_1759,558
group_176,1581
group_1767,555
group_1768,555
group_1769,555
group_1779,552
group_1780,552
group_1781,552
group_1782,552
group_1783,552
group_1784,552
group_1785,552
group_1786,552
group_1792,549
group_1794,549
group_1802,546
group_1803,546
group_1804,546
group_1811,543
group_1812,543
group_1818,540
group_1819,540
group_1820,540
group_1821,540
group_1822,540
group_1823,540
group_1824,540
group_1825,540
group_1833,537
group_1834,537
group_184,1563
group_1840,534
group_1843,534
group_1844,534
group_1845,534
group_1850,531
group_1851,531
group_1852,531
group_1854,531
group_1855,531
group_1859,528
group_186,1557
group_1867,525
group_187,1554
group_1873,522
group_1874,522
group_1875,522
group_1881,519
group_1882,519
group_1883,519
group_1885,519
group_1886,519
group_1888,516
group_1889,516
group_1892,513
group_1893,513
group_1900,510
group_1901,510
group_1902,510
group_1905,507
group_1909,507
group_1910,507
group_1912,507
group_1915,504
group_1916,504
group_1917,504
group_1918,504
group_1919,504
group_1920,504
group_1921,504
group_1927,501
group_1928,501
group_1929,501
group_193,1548
group_1930,501
group_1931,501
group_1932,501
group_1933,501
group_1938,498
group_1939,498
group_1940,498
group_1941,498
group_1947,495
group_1948,495
group_1949,495
group_195,1527
group_1956,492
group_1957,492
group_1958,492
group_1959,492
group_1966,489
group_1967,489
group_1968,489
group_1973,486
group_1974,486
group_1976,486
group_1977,486
group_1984,483
group_1985,483
group_1986,483
group_1987,483
