Hs,Ht,Gst,Gprime_st,D,loc_id,gene,tops
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05844,groS1_3,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05844,groS1_4,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05872,lsrG_1,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05872,lsrG,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05873,pgrR_3,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05873,pgrR_4,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05873,pgrR_16,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05893,cpo_1,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05896,purU_1,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05925,fni_1,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc05926,glnT_1,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc07807,yfhA_3,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc07873,dpnM,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc07882,cpdA_2,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc07894,chaA_1,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc07915,chaA_2,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc07925,alr1,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc07944,prpD,0
0.20930232558139533,0.4796511627906977,0.5636363636363637,0.911764705882353,0.6838235294117647,loc07945,accA1_3,0
0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,loc06157,kup_2,0
0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,loc06214,rhaS_1,0
0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,loc06214,rhaS_4,0
0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,loc07196,paiB,0
0.24806201550387597,0.4573643410852713,0.4576271186440678,0.8350515463917526,0.556701030927835,loc07344,gabR_2,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06175,linD,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06182,cspA_2,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06182,cspA_6,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06197,cnbA,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06197,nbzA,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06207,mhqA_1,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06217,tfdF,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06334,yfcG_1,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06335,pnpB,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06350,kynA,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06376,sasA_1,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06864,aaeA_2,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06864,yiaV,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06865,dmlR_15,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06885,abfA_1,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06885,abfA_2,0
0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,loc06895,xylB_8,0
