ID,RhizobiaSite,Rhizobia,PlantSite,Plant,TreatmentID,Waterblock,Label,DryWeight (mg),NoduleNumber,RootWeight (mg),NoduleWeight (mg)
152,H,H2M3R1,S,S5M6,1,3,ID152-H2M3R1-WB3-S5M6,5,0,1.8,
153,H,H3M1R1,S,S5M4,4,12,ID153-H3M1R1-WB12-S5M4,17.3,10,3,0.4
154,H,H4M5R1,S,S5M6,5,15,ID154-H4M5R1-WB15-S5M6,14.6,9,2,0.2
155,L,L2M2R1,S,S5M6,8,24,ID155-L2M2R1-WB24-S5M6,2.1,0,0.4,
156,L,L3M5R1,S,S5M7,9,27,ID156-L3M5R1-WB27-S5M7,12.6,13,2.3,0.3
157,L,L4M2R2,S,S5M1,10,30,ID157-L4M2R2-WB30-S5M1,7.7,16,1.7,0.1
158,H,H3M1R1,H,H4M3,2,6,ID158-H3M1R1-WB6-H4M3,5.8,3,1.5,
159,NA,NA,S,S5M7,0,31,ID159-NA-WB31-S5M7,3.8,2,1.2,
160,NA,NA,S,S5M3,0,31,ID160-NA-WB31-S5M3,NA,NA,NA,
161,NA,NA,S,S5M3,0,31,ID161-NA-WB31-S5M3,NA,NA,NA,
162,NA,NA,S,S5M4,0,31,ID162-NA-WB31-S5M4,NA,NA,NA,
163,NA,NA,S,S5M1,0,32,ID163-NA-WB32-S5M1,5.4,6,1.7,0.1
164,NA,NA,S,S5M1,0,32,ID164-NA-WB32-S5M1,NA,,NA,
165,NA,NA,S,S5M7,0,32,ID165-NA-WB32-S5M7,6.9,0,2.7,
166,L,L2M2R1,H,H2M3,6,9,ID166-L2M2R1-WB9-H2M3,5.1,4,0.6,0.1
167,NA,NA,S,S5M7,0,32,ID167-NA-WB32-S5M7,9.8,13,2.3,0.3
