temperature,well,exp_id,r,t.r,lag,maxOD,startOD
35c,A01,H2M3R1,0.6468215135642378,15.833333333333334,14.662647599256195,0.19018018615653795,-0.03328125
35c,B01,H2M3R2,0.8744083271315792,21.75,20.97088727378706,0.218518477905124,-0.034
35c,C01,H3M1R1,0.45122326557358844,21.083333333333332,19.525874628512714,0.16613485354839808,-0.034
35c,D01,H3M3R2,0.8851152907632882,20.5,19.686149296099746,0.1557252602217664,-0.034
35c,E01,H3M4R1,0.611894797667297,20.916666666666668,19.727902553371123,0.1600574708365933,-0.03228125
35c,F01,H4M5R1,0.6333623532936441,25.25,24.243398473060807,0.12204154734953845,-0.03328125
35c,G01,L1M2R2,0.908685803101422,18.583333333333332,17.866147317280703,0.15597801783998516,-0.034
35c,H01,L2M2R1,0.5928682526915853,18,16.72169097943959,0.2627207886950355,-0.034
35c,A02,H2M3R1,0.37394940885748396,17.916666666666668,15.974948812910855,0.16948225823335325,-0.03228125
35c,B02,H2M3R2,0.6678384345077961,19.75,18.84066491691052,0.24451387906792998,-0.021281249999999988
35c,C02,H3M1R1,0.30980790072872105,21.75,19.33771849263795,0.10269896172459711,-0.03128125
35c,D02,H3M3R2,0.2864768042305998,28.25,25.27395611841319,0.08654504230449125,-0.030281249999999996
35c,E02,H3M4R1,0.35428259468308115,21,18.94128832830263,0.09301952747716173,-0.029281249999999995
35c,F02,H4M5R1,0.3202546253717397,24.75,22.8748061844441,0.10017421950723232,-0.030281249999999996
35c,G02,L1M2R2,0,NA,NA,NA,-0.034
35c,H02,L2M2R1,0.802290461121092,19.916666666666668,19.16039226083551,0.2686224661422884,-0.03228125
35c,A03,L2M4R1,0.689231175080584,17.916666666666668,17.066274480579633,0.21711147977424977,-0.03128125
35c,B03,L3M5R1,0.5362650567952784,34.25,32.96167420063252,0.05388957083694404,-0.034
35c,C03,L4M2R2,0.986440139631774,15.25,14.514239835080623,0.27390992936525593,-0.03228125
35c,D03,L4M3R3,0.2635229078482861,17,13.883626534454823,0.08765698596609392,-0.03228125
35c,E03,L4M4R1,0.26228099280080897,16.5,14.02853019981975,0.09393146585318154,-0.030281249999999996
35c,F03,L4M7R1,0.5365469388282255,14.75,13.537420054698579,0.11653376212870849,-0.028281249999999994
35c,G03,L3M1R1,0.8295156848829851,17.166666666666668,16.319429559020836,0.19993272852975275,-0.03128125
35c,H03,src-2,1.273387936635666,13.75,13.162479051962729,0.22038742760573365,-0.03328125
35c,A04,L2M4R1,0.9392090723366517,20.333333333333332,19.612645912892706,0.17903440957816885,-0.030281249999999996
35c,B04,L3M5R1,0.6937390623651287,18.833333333333332,17.866016261043363,0.11365419354528103,-0.030281249999999996
35c,C04,L4M2R2,0.9045407516393358,14.25,13.523548794076978,0.25200536451929634,-0.03228125
35c,D04,L4M3R3,0.25214308293324156,14.083333333333334,11.386468429705298,0.11689304093722788,-0.034
35c,E04,L4M4R1,0.3827946868894032,14.5,12.638791265856112,0.09792451288199466,-0.030281249999999996
35c,F04,L4M7R1,0.5610848099216794,12.416666666666666,11.146148793185473,0.12700003126201992,-0.029281249999999995
35c,G04,L3M1R1,0.7235162381114497,17,16.12224905408115,0.21113568328550084,-0.03128125
35c,H04,src-2,0.8207658812934344,13.416666666666666,12.58649098335,0.20413201876247075,-0.03128125
35c,A05,fp1-2,1.1219605540896764,16.083333333333332,15.477216525185693,0.2486871194854412,-0.03128125
35c,B05,fp1-3,1.1780511177567674,13.833333333333334,13.218240455470417,0.27006163379363857,-0.03328125
35c,C05,fp2-2,0.6372634403816485,16.5,15.587682676449809,0.26442432890095363,-0.030281249999999996
35c,D05,crp1-2,0.9150748016759636,10.916666666666666,10.14504967685457,0.29700094084893414,-0.03228125
35c,E05,crp1-3,0.9745032912245029,10.416666666666666,9.706446942462744,0.26671551876122085,-0.03228125
35c,F05,crp2-2,0.703294565570606,13,12.100524445213159,0.22655756178339126,-0.028281249999999994
35c,G05,gp1-1,0.33851195588998756,26.166666666666668,23.791992841300413,0.11732646763341245,-0.03228125
35c,H05,gp1-2,0.6071208499224106,16.833333333333332,15.81126004443779,0.17081689333592767,-0.03328125
35c,A06,fp1-2,0.9882808948765427,16.083333333333332,15.41924004402847,0.23084898087158567,-0.03128125
35c,B06,fp1-3,1.2728237648008027,13.75,13.15365214009191,0.24201697630097488,-0.030281249999999996
35c,C06,fp2-2,0.6224702332589808,16.75,15.65570361746039,0.24828240023569356,-0.03228125
35c,D06,crp1-2,0.9297550412878923,10.916666666666666,10.105054714931617,0.29037346965196703,-0.03128125
35c,E06,crp1-3,0.8442045842699989,10.333333333333334,9.49800192896986,0.29233355295637575,-0.03128125
35c,F06,crp2-2,0.7350521164656945,13.75,12.78253394118745,0.2469518872501608,-0.03228125
35c,G06,gp1-1,0.39704590147002106,23.166666666666668,21.648602709539944,0.11716392070948388,-0.030281249999999996
35c,H06,gp1-2,0.4113913958321967,20.916666666666668,19.251069383881184,0.15051555087561103,-0.03328125
35c,A07,gp1-3,0.30383843336999883,24,21.809066768640136,0.11054258962472752,-0.029281249999999995
35c,B07,bg-2,1.3378208612971976,7.916666666666667,7.468056439833283,0.428727801833858,-0.03128125
35c,C07,bg-3,0.874155094461187,12.083333333333334,11.257086503943915,0.2961461712614185,-0.030281249999999996
35c,D07,pms-1,0.6036413153476242,13.25,12.183853539853512,0.18586753382384755,-0.03228125
35c,E07,pms-2,0.8634530633164526,12.083333333333334,11.299920797690199,0.3025011950953796,-0.030281249999999996
