Number,Nitrogen,Rhizobia,Rstate,Fixstate,Mortality_End,Gall_Counter,Egg_sacs,Galls,Additional_nodules,Nod_Counter,S_white,L_white,S_yellow,L_yellow,S_pink,L_pink,S_brown,L_brown,Total_nod,Total_Small,Total_Large,Shoot_biomass,Seed_pods,Shoot_minus_seed_pods,Seed_pod_biomass,Root_biomass,Block,Nod_weigher,Nod_mass,masspnod,Sample,Run_date,Sample_weight_mg,N_Retention,N_Response,N_weight_mg,N_percent,C_Retention,C_Response,C_weight_mg,C_percent
142,2.5,Rm41,R+,Fix-,1,Nuri,2,2,0,Nuri,1,12,3,5,0,0,0,0,21,4,17,0.2025,2,0.1538,0.0493,0.0346,C,Yasmeen,0.0017,0.0000810,142,2/11,4.82,1.96,319.62,0.10,2.13,3.15,14838.29,1.93,40.02
145,0,A145,R+,Fix-,1,Nuri,3,3,"1 small, 1 large",Nuri,1,2,0,2,0,0,0,0,5,1,4,0.0108,0,NA,NA,0.0029,C,Nova,0.0001,0.0000200,145,2/11,1.16,1.90,44.02,0.01,0.82,3.35,3040.46,0.40,34.16
146,0,A145,R+,Fix-,1,Nuri,0,0,0,Nuri,1,0,0,0,0,0,0,0,1,1,0,0.0558,0,NA,NA,0.0014,C,Yasmeen,0.0002,0.0002000,146,2/11,4.58,1.96,415.11,0.14,2.95,3.17,13923.75,1.81,39.50
150,0.625,A145,R+,Fix-,1,Nova,4,4,0,Nuri,8,22,4,3,0,0,0,0,37,12,25,0.0487,0,NA,NA,0.0128,C,Nova,0.0023,0.0000622,150,2/8,4.08,1.94,152.58,0.04,1.08,3.17,11858.20,1.52,37.24
154,2.5,A145,R+,Fix-,1,Nova,11,11,1,Nuri,3,35,0,0,0,0,0,0,38,3,35,0.1934,0,NA,NA,0.0357,C,Nova,0.0020,0.0000526,154,2/23,4.25,1.84,285.53,0.09,2.07,3.06,13393.73,1.68,39.51
157,0,Em1021,R+,Fix+,1,Nuri,9,9,0,Nuri,2,0,1,8,0,0,0,0,11,3,8,0.0211,0,NA,NA,0.0056,C,Yasmeen,0.0004,0.0000364,157,2/23,4.42,1.84,201.58,0.06,1.38,3.10,11118.84,1.40,31.57
158,0,Em1021,R+,Fix+,1,Nova,1,2,0,Nuri,2,0,2,9,0,3,0,0,16,4,12,0.0201,0,NA,NA,0.0054,C,Bethany,0.0016,0.0001000,158,2/23,4.39,1.84,196.56,0.06,1.36,3.10,11453.32,1.44,32.76
161,0.625,Em1021,R+,Fix+,1,Nova,10,11,0,Nuri,2,4,0,11,0,0,0,0,17,2,15,0.0274,0,NA,NA,0.0067,C,Bethany,0.0014,0.0000824,161,2/23,4.63,1.84,243.75,0.08,1.61,3.06,13346.15,1.67,36.19
162,0.625,Em1021,R+,Fix+,1,Nova,2,2,0,Nuri,2,1,0,2,0,8,0,0,13,2,11,0.0196,0,NA,NA,0.0066,C,Nova,0.0017,0.0001308,162,2/23,4.54,1.84,279.06,0.09,1.89,3.08,12759.84,1.60,35.26
165,2.5,Em1021,R+,Fix+,1,Nova,23,24,0,Nuri,33,23,1,4,0,6,0,0,67,34,33,0.2095,0,NA,NA,0.0398,C,Bethany,0.0033,0.0000493,165,2/23,4.81,1.85,350.02,0.11,2.26,3.05,14754.01,1.85,38.50
166,2.5,Em1021,R+,Fix+,1,Nova,15,15,0,Nuri,8,7,0,1,0,0,0,0,16,8,8,0.1547,0,NA,NA,0.0343,C,Bethany,0.0010,0.0000625,166,2/23,4.68,1.85,442.44,0.14,2.94,3.05,14326.36,1.80,38.37
167,2.5,Em1021,R+,Fix+,1,Nova,11,11,0,Nuri,8,23,2,21,0,0,0,0,54,10,44,0.2104,0,NA,NA,0.0480,C,Bethany,0.0024,0.0000444,167,2/23,4.43,1.84,329.89,0.10,2.30,3.06,13646.60,1.71,38.65
169,0,Em1022,R+,Fix+,1,Nuri,0,0,0,Nuri,1,1,1,7,0,0,0,0,10,2,8,0.0115,0,NA,NA,0.0048,C,Nova,0.0006,0.0000600,169,2/11,0.88,1.91,50.11,0.01,1.32,3.34,2559.39,0.33,37.95
173,0.625,Em1022,R+,Fix+,1,Nuri,12,12,2 small,Nuri,9,8,10,40,0,0,0,0,67,19,48,0.0848,0,NA,NA,0.0177,C,Nova,0.0049,0.0000731,173,2/9,4.67,1.92,185.60,0.06,1.19,3.12,13888.42,1.73,37.05
174,0.625,Em1022,R+,Fix+,1,Nuri,5,5,0,Nuri,13,9,6,30,0,0,0,0,58,19,39,0.0612,0,NA,NA,0.0133,C,Bethany,0.0032,0.0000552,174,2/8,4.56,1.94,206.35,0.06,1.34,3.14,13837.49,1.78,39.00
177,2.5,Em1022,R+,Fix+,1,Nova,3,3,0,Yoon,3,1,5,10,5,8,0,0,32,13,19,0.2545,2,0.2316,0.0226,0.0479,C,Yasmeen,0.0031,0.0000969,177,2/8,4.73,1.94,303.00,0.09,1.93,3.13,14927.97,1.92,40.52
178,2.5,Em1022,R+,Fix+,1,Nova,0,2,0,Nova,1,0,3,3,0,0,0,0,7,4,3,0.0933,0,NA,NA,0.0119,C,Bethany,0.0005,0.0000714,178,2/8,4.51,1.93,354.99,0.11,2.39,3.14,14286.72,1.84,40.66
181,0,R-,R-,R-,1,Nova,3,3,0,Yoon,0,0,0,0,0,0,0,0,0,0,0,0.0069,0,NA,NA,0.0045,D,NA,0.0000,0.0000000,181,2/11,0.44,,,,,3.38,1135.31,0.15,33.36
182,0,R-,R-,R-,1,Nova,0,0,0,Yoon,0,0,0,0,0,0,0,0,0,0,0,0.0105,0,NA,NA,0.0046,D,NA,0.0000,0.0000000,182,2/9,1.91,1.91,73.49,0.02,0.99,3.29,4631.00,0.57,29.60
185,0.625,R-,R-,R-,1,Nova,9,7,0,Yoon,0,0,0,0,0,7,0,0,7,0,7,0.0677,0,NA,NA,0.0142,D,Bethany,0.0021,0.0003000,185,2/9,4.77,1.93,334.45,0.10,2.19,3.12,14439.24,1.80,37.75
193,0,Rm41,R+,Fix-,1,Nova,1,1,0,Yoon,1,0,1,2,0,5,0,0,9,2,7,0.0315,0,NA,NA,0.0057,D,Bethany,0.0018,0.0002000,193,2/23,4.24,1.83,299.66,0.09,2.18,3.10,11031.88,1.38,32.67
197,0.625,Rm41,R+,Fix-,1,Nova,13,15,3,Nuri,24,13,0,11,1,3,0,0,52,25,27,0.0778,0,NA,NA,0.0227,D,Bethany,0.0036,0.0000692,197,2/11,4.68,1.94,233.17,0.07,1.57,3.16,13306.31,1.73,36.95
202,2.5,Rm41,R+,Fix-,1,Nova,14,13,0,Chig,15,4,10,29,0,10,0,0,68,25,43,0.2524,0,NA,NA,0.0519,D,Nova,0.0032,0.0000471,202,2/9,4.45,1.92,255.38,0.08,1.76,3.12,13867.46,1.73,38.84
205,0,A145,R+,Fix-,1,Nova,0,1,0,Yoon,5,0,2,0,0,0,0,0,7,7,0,0.0145,0,NA,NA,0.0032,D,Nova,0.0003,0.0000429,205,2/11,1.69,1.91,61.01,0.02,0.90,3.31,4433.66,0.58,34.07
214,2.5,A145,R+,Fix-,1,Nova,19,21,8,Yoon,21,1,9,9,0,0,0,0,40,30,10,0.2048,0,NA,NA,0.0490,D,Yasmeen,0.0013,0.0000325,214,2/9,4.65,1.92,290.11,0.09,1.93,3.11,14225.10,1.77,38.11
218,0,Em1021,R+,Fix+,1,Nova,2,4,0,Nuri,15,3,4,6,3,3,0,0,34,22,12,0.0381,0,NA,NA,0.0103,D,Bethany,0.0041,0.0001206,218,2/23,4.25,1.84,254.88,0.08,1.84,3.09,11954.20,1.50,35.30
221,0.625,Em1021,R+,Fix+,1,Nuri,10,10,0,Chig,3,8,5,34,0,4,0,1,55,8,47,0.0422,0,NA,NA,0.0121,D,Bethany,0.0026,0.0000473,221,2/9,4.79,1.92,181.07,0.05,1.13,3.14,12875.51,1.60,33.46
222,0.625,Em1021,R+,Fix+,1,Nova,7,6,0,Yoon,22,2,0,13,0,1,0,0,38,22,16,0.0625,0,NA,NA,0.0167,D,Nova,0.0035,0.0000921,222,2/9,4.88,1.93,208.42,0.06,1.29,3.13,13198.28,1.64,33.66
226,2.5,Em1021,R+,Fix+,1,Nova,18,17,0,Chig,2,2,1,34,0,20,0,0,59,3,56,0.1973,0,NA,NA,0.0369,D,Bethany,0.0048,0.0000814,226,2/11,4.94,1.94,321.78,0.10,2.09,3.15,14401.65,1.87,37.83
227,2.5,Em1021,R+,Fix+,1,Nova,0,0,0,Chig,0,0,0,0,0,0,0,0,0,0,0,0.0107,0,NA,NA,0.0015,D,NA,0.0000,0.0000000,227,2/11,4.42,1.93,193.59,0.06,1.36,3.24,8451.68,1.10,24.86
229,0,Em1022,R+,Fix+,1,Nova,1,1,0,Nuri,1,1,3,12,0,0,0,0,17,4,13,0.0163,0,NA,NA,0.0057,D,Bethany,0.0014,0.0000824,229,2/8,5.00,1.94,209.15,0.06,1.24,3.15,13003.71,1.67,33.39
233,0.625,Em1022,R+,Fix+,1,Nova,1,1,0,Chig,4,2,0,1,0,0,0,0,7,4,3,0.0147,0,NA,NA,0.0021,D,Bethany,0.0004,0.0000571,233,2/8,3.89,1.94,219.40,0.07,1.67,3.21,10254.33,1.31,33.74
234,0.625,Em1022,R+,Fix+,1,Nova,11,10,0,Chig,2,2,1,33,0,3,0,0,41,3,38,0.0461,0,NA,NA,0.0122,D,Nova,0.0026,0.0000634,234,2/9,4.47,1.93,171.50,0.05,1.14,3.14,13300.34,1.66,37.06
1,0,R-,R-,R-,1,Nuri,1,1,0,Chig,0,0,0,0,0,0,0,0,0,0,0,0.0271,0,NA,NA,0.0065,A,NA,0.0000,0.0000000,1-1,2/11,4.12,1.94,322.90,0.10,2.52,3.18,11773.54,1.53,37.16
1,0,R-,R-,R-,1,Nuri,1,1,0,Chig,0,0,0,0,0,0,0,0,0,0,0,0.0271,0,NA,NA,0.0065,A,NA,0.0000,0.0000000,1-2,2/11,4.03,1.94,339.48,0.11,2.71,3.18,11566.50,1.50,37.26
1,0,R-,R-,R-,1,Nuri,1,1,0,Chig,0,0,0,0,0,0,0,0,0,0,0,0.0271,0,NA,NA,0.0065,A,NA,0.0000,0.0000000,1-3,2/23,4.84,1.85,361.72,0.11,2.32,3.07,13603.88,1.71,35.28
10,2.5,R-,R-,R-,1,Nova,1,1,0,Chig,0,0,0,0,0,0,0,0,0,0,0,0.0849,0,NA,NA,0.0107,A,NA,0.0000,0.0000000,10-1,2/11,4.62,1.95,464.43,0.15,3.28,3.15,13883.02,1.80,39.00
