from,gene,non_unique_gene_name,annotation
fcl,fcl,;fcl,hypothetical protein;GDP-L-fucose synthase
yedK,yedK,yedK,SOS response-associated protein YedK
ald,ald_2,ald_2,Alanine dehydrogenase
murJ,murJ,murJ;,putative lipid II flippase MurJ;hypothetical protein;lipid II flippase MurJ
lpxA,lpxA,lpxA;,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase;hypothetical protein
mtgA,mtgA_2,;mtgA_2,hypothetical protein;Biosynthetic peptidoglycan transglycosylase
ycf3,ycf3,ycf3,Photosystem I assembly protein Ycf3
accC,accC,accC;,Biotin carboxylase;hypothetical protein
nrsF,nrsF,nrsF;,Anti-sigma-F factor NrsF;hypothetical protein
nuoJ,nuoJ_1,;nuoJ_1,hypothetical protein;NADH-quinone oxidoreductase subunit J
moeA,moeA,moeA,Molybdopterin molybdenumtransferase
gatB,gatB,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
dgcT,dgcT,dgcT;,putative diguanylate cyclase DgcT;hypothetical protein
msrB,msrB_3,msrB_3,Peptide methionine sulfoxide reductase MsrB
adiC,adiC,adiC,Arginine/agmatine antiporter
tlyC,tlyC,;tlyC,hypothetical protein;Hemolysin C
ligE,ligE,ligE,Beta-etherase
bfr,bfr,bfr,Bacterioferritin
flgH,flgH,flgH,Flagellar L-ring protein
thrC,thrC,thrC;,Threonine synthase;hypothetical protein
dnaQ,dnaQ,;dnaQ,hypothetical protein;DNA polymerase III subunit epsilon
aacA4,aacA4_1,;aacA4_1,hypothetical protein;Aminoglycoside N(6')-acetyltransferase type 1
apbE,apbE,;apbE,hypothetical protein;FAD:protein FMN transferase
OSGEPL1,OSGEPL1,;OSGEPL1,hypothetical protein;tRNA N6-adenosine threonylcarbamoyltransferase mitochondrial
fdxA,fdxA,fdxA,Ferredoxin-2
emrA,emrA_2,emrA_2;,Colistin resistance protein EmrA;hypothetical protein
gloA,gloA,;gloA,hypothetical protein;Lactoylglutathione lyase
secY,secY,secY,Protein translocase subunit SecY
pyrF,pyrF,pyrF,Orotidine 5'-phosphate decarboxylase
iolS,iolS,;iolS,hypothetical protein;Aldo-keto reductase IolS
macB,macB,macB,Macrolide export ATP-binding/permease protein MacB
ywlC,ywlC,ywlC;,Threonylcarbamoyl-AMP synthase;hypothetical protein
cinA,cinA,cinA,Putative competence-damage inducible protein
menH,menH_1,menH_1,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase
bioY,bioY,bioY,Biotin transporter BioY
lysS,lysS,lysS,Lysine--tRNA ligase
pdeA,pdeA,pdeA,putative cyclic di-GMP phosphodiesterase PdeA
acnA,acnA,acnA,Aconitate hydratase A
gyrA,gyrA,gyrA,DNA gyrase subunit A
cmoA,cmoA,cmoA,Carboxy-S-adenosyl-L-methionine synthase
yhaJ,yhaJ,;yhaJ,hypothetical protein;HTH-type transcriptional regulator YhaJ
todT,todT_2,todT_2,Response regulator protein TodT
dprE1,dprE1,dprE1,Decaprenylphosphoryl-beta-D-ribose oxidase
klcA,klcA,;klcA,hypothetical protein;Antirestriction protein KlcA
hisA,hisA,hisA;,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase;hypothetical protein
ydjG,ydjG,;ydjG,hypothetical protein;NADH-specific methylglyoxal reductase
norG,norG,norG,HTH-type transcriptional regulator NorG
ureE1,ureE1,ureE1,Urease accessory protein UreE 1
ycnJ,ycnJ,ycnJ;,Copper transport protein YcnJ;hypothetical protein
glcB,glcB,glcB,Malate synthase G
