gene,g21,g22,g23,g24,g25,g26,g27,g31,g32,g33,g34,g35,g36,g37,g39,g41,g43,g44,g45
pucL-allA_2-pucM_1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1
pgrR_2~~~pgrR_12~~~pgrR_13-golD_1-pucM_1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
cpo_1-rhaR_1-pgiA_2~~~pgiA_1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1
cpo_1-rhaR_1-lldD_2~~~lldD_3,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
thiD-group_1451-group_4883,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0
group_686-group_1451-group_4883,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
group_2247-group_1451-group_4883,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
group_1451-thiD-group_3914,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0
group_3914-thiD-group_1777,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
group_2247-thiD-group_5418,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
group_4443-group_217-group_5739,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_4370-group_3129-group_5740,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
yddA-group_3129-group_5740,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0
group_3345-group_1982-group_5953,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
group_5557-group_1982-group_5953,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0
fruK-ytfQ_1-gshB_1~~~gshB_2,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1
group_3534-group_3231-kefC_2~~~kefC_1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
kefC_2~~~kefC_1-group_3231-group_5839,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
group_3231-group_3534-group_5252,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_3231-group_3534-group_5839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
kefC_2~~~kefC_1-group_3534-group_5252,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
group_4558-group_407-group_4559,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phnY-group_669-btuD_11~~~btuD_1~~~btuD_4,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1
group_4001-group_669-btuD_11~~~btuD_1~~~btuD_4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
group_4253-group_669-btuD_11~~~btuD_1~~~btuD_4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
group_669-phnY-phnA,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1
phnA-phnY-group_4253,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
dadA-glpR_1-pta,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
abo_1~~~abo_5~~~abo_6-glpR_1-pta,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
kduD_2-group_2634-cytR_2,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
group_2634-cytR_2-ytfQ_2,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
gph_1-group_749-mshA_13~~~mshA_4,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
mshA_13~~~mshA_4-group_749-sgrR_1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1
pphA_1-gph_1-group_749,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
pphA_1-gph_1-sgrR_1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1
group_286-cecR-group_700,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dctB_2-dctD_3-group_3169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
dctB_2-dctD_3-oppD_1~~~yejF_1~~~yejF_2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
uctC-acdA_2-argP_2~~~argP_1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
group_4542-pbuE-group_4580,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
group_4580-pbuE-group_5425,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
group_4580-pbuE-group_5635,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_4542-hutI-hutH_2~~~hutH_1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1
hutH_2~~~hutH_1-hutI-group_5425,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0
hutH_2~~~hutH_1-hutI-group_5635,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_5435-hutU-group_5493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_5493-hutU-group_5494,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
guaD_2-group_1905-ibpA_1~~~ibpA_3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1905-guaD_2-group_376,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_4490-group_270-btuD_19~~~btuD_3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
group_4650-group_429-group_5336,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
group_4301-group_2777-group_5729,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
group_5729-group_2777-group_5744,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
group_3628-group_1899-group_5670,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
group_1827-group_1899-group_5670,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_1899-group_3628-group_5092,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
group_1899-group_3628-group_5451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_5092-group_2790-group_5942,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
group_5221-group_2790-group_5942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_3734-group_1757-group_6241,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
group_5660-group_1757-group_6241,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_3668-lsrG-lsrK,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsrK-lsrG-group_5726,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_3476-group_233-group_4458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
group_166-group_2586-group_2585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_1399-group_1342-group_2585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_3880-group_1260-group_5621,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_5427-group_1260-group_6201,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
group_5621-group_1260-group_6201,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1
group_5930-group_1260-group_6201,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
group_2490-group_416-group_5523,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2490-group_416-mtrR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_416-group_2490-group_5051,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1788-ucpA-dgoD_2~~~dgoD_1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dgoD_2~~~dgoD_1-ucpA-group_6200,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_195-group_796-group_4666,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1
group_195-group_796-group_662,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
rbsA_12~~~rbsA_4-group_662-group_4666,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1
rbsA_12~~~rbsA_4-group_662-group_796,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
group_2020-group_3279-group_4726,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_4821-group_1149-nicB_2~~~nicB_3~~~nicB_1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1
acxA-group_1149-nicB_2~~~nicB_3~~~nicB_1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0
nicB_2~~~nicB_3-nicA-nicB_2~~~nicB_3~~~nicB_1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
group_3280-dhaL2-group_4894,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dhaL2-group_3280-group_3683,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pucK-ipsA-group_5482,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
group_4754-group_913-kce_2~~~kce_1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0
group_4930-group_913-kce_2~~~kce_1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1
group_5163-group_3558-group_5164,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_3629-group_1681-group_3139,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
group_3629-group_1681-group_4931,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
group_3996-group_1437-dhmA~~~dhmA_1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
group_4001-group_1437-dhmA~~~dhmA_1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
dhmA~~~dhmA_1-group_1437-sasA_3~~~sasA_7,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
group_445-group_1873-group_3576,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
devR-group_470-rcsC_5~~~rcsC_12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1349-group_512-btuD_20~~~malK_10~~~btuD_7~~~malK_7,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1
cysQ_4~~~cysQ_3-group_512-btuD_20~~~malK_10~~~btuD_7~~~malK_7,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0
gsiA_3-dapA_4-group_4722,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
gsiA_3-dapA_4-group_4763,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
xypA-ydaD-group_5591,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1
xypA-ydaD-group_5951,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
group_3520-COQ5_4-fecE_1~~~fecE_2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
group_3977-COQ5_4-fecE_1~~~fecE_2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fecE_1~~~fecE_2-COQ5_4-parD1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
yfhA_1-group_573-group_2460,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
yfhA_1-group_573-group_5450,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yfhA_1-group_573-group_5561,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_680-aroE_1-group_1444,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
group_680-aroE_1-group_4467,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
group_680-aroE_1-norG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
sigJ-group_2021-group_4439,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sigJ-group_2021-group_5678,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yejF_2-melA_2-group_4488,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
paaA-paaX-group_4488,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0
group_3921-paaX-group_4488,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
paaX-paaA-paaB,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0
paaB-paaA-group_3921,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
nspC-group_373-group_4263,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nspC-group_373-cytR_5~~~ccpA_3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
malK_9~~~malK_5-group_2999-group_5736,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
group_5735-group_2999-group_5736,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0
mtnA-nepI_1-rclR,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rclR-nepI_1-thiE_2~~~thiE_1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fcuA-group_2046-group_4397,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_4397-group_2046-glnA_1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_3372-gdh_3-group_4825,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_4825-gdh_3-group_5148,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2968-abgB-dppE,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_3199-abgB-dppE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_538-group_1758-mhqA,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_4148-group_1758-mhqA,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
mhqA-group_1758-group_5223,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
mhqA-group_1758-group_5458,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
group_1758-group_538-group_4768,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_4768-group_538-group_5223,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
group_2424-group_2735-ureC1~~~ureC,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oppD_3-oppF_2-kdgK_2,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
oppF_2-kdgK_2-malL_2~~~malL_1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
group_4056-group_327-group_4385,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
menF-fieF-queF,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
menF-fieF-btuB_2~~~btuB_1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
leuA-clpP_1-group_4068,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
leuA-clpP_1-btuB_2~~~btuB_1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1
clpP_1-leuA-group_3130,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
group_3416-yqjG-group_1779,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yqjG-group_1779-group_4321,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_1542-group_1884-group_5669,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
stf0-group_2636-group_4903,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_4715-group_3232-group_4797,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gsiD_10~~~ddpC_4-gsiC_5-dppA_2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
eryH-eryI-group_3979,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
eryH-eryI-group_5012,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
ygaZ_1-group_2778-group_3209,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
group_3209-group_2778-panB_2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
prmA~~~prmC_2-group_3082-group_5395,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
cheW_1-group_2374-group_2543,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2374-group_2543-group_1939,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_3354-group_3188-group_4055,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_3354-group_3188-group_5212,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ilvI-ilvH-group_2664,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_2664-group_1005-cspA_1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nhhA-eamB-group_2325,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
nhhA-eamB-tam_1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1
group_1358-group_2567-group_4620,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1
group_1358-group_2567-group_5061,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ptsJ_2-group_2249-group_2688,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ptsJ_2-group_2249-qorB,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
yjlD-group_1008-csbC,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0
yjlD-group_1008-group_5500,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
hyuA_2-csbC-group_1008,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0
hyuA_2-csbC-group_5500,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
yajO_1-lysN-group_4554,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
group_4249-lysN-group_4554,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
lysN-yajO_1-sspA_1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
sspA_1-yajO_1-group_4249,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
cof-group_3495-ftsZ_1~~~ftsZ_2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_296-group_122-ftsZ_1~~~ftsZ_2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
group_2070-phzF_1-group_4621,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
group_4621-phzF_1-group_5577,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
group_1069-group_3190-group_5135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_954-group_3190-group_5135,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group_1069-group_3436-group_6380,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_4062-group_3708-group_6168,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
group_4062-group_3708-group_6269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_5566-group_755-group_5568,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group_619-group_3735-kup_2~~~kup_1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
group_4037-group_3735-kup_2~~~kup_1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1
group_5142-group_3735-kup_2~~~kup_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
group_871-group_2070-group_1173,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
group_1173-group_2070-phzF_1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
group_1173-group_2070-group_4994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group_1173-group_2070-ligD_5~~~ligD_7~~~ligD_2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_2269-group_3591-group_3481,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
group_3591-group_3481-group_5157,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
