gene,non_unique_gene_name,annotation,from
queE,queE,7-carboxy-7-deazaguanine synthase,queE
aqpZ,aqpZ,Aquaporin Z,aqpZ
yfcA_2,yfcA_2;,putative membrane transporter protein YfcA;hypothetical protein,yfcA
trmL,trmL,tRNA (cytidine(34)-2'-O)-methyltransferase,trmL
bioS,bioS,Biotin transport regulator,bioS
yceI,yceI,Protein YceI,yceI
mdtL,mdtL,Multidrug resistance protein MdtL,mdtL
dld_2,;dld_2,putative FAD-linked oxidoreductase;Quinone-dependent D-lactate dehydrogenase,dld
fliC_2,;fliC_2,hypothetical protein;Flagellin,fliC
gppA_2,gppA_2,Guanosine-5'-triphosphate3'-diphosphate pyrophosphatase,gppA
sfsA,sfsA,Sugar fermentation stimulation protein A,sfsA
xypA,xypA,Xylitol-binding protein,xypA
argH_1,argH_1,Argininosuccinate lyase,argH
otnI,otnI,2-oxo-tetronate isomerase,otnI
ampC,ampC,Beta-lactamase,ampC
comM,comM,Competence protein ComM,comM
cobV,cobV,Adenosylcobinamide-GDP ribazoletransferase,cobV
yhfA,yhfA,Protein YhfA,yhfA
lsrD_1,lsrD_1,Autoinducer 2 import system permease protein LsrD,lsrD
cysQ_2,cysQ_2,3'(2')5'-bisphosphate nucleotidase CysQ,cysQ
comC,comC;,(2R)-3-sulfolactate dehydrogenase (NADP(+));hypothetical protein;Delta(1)-pyrroline-2-carboxylate reductase 1,comC
fdoG_1,fdoG_1,Formate dehydrogenase-O major subunit,fdoG
xlnD,xlnD,3-hydroxybenzoate 6-hydroxylase 1,xlnD
acyP,acyP,Acylphosphatase,acyP
pglF,;pglF,hypothetical protein;UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase,pglF
rfbG,rfbG,CDP-glucose 46-dehydratase,rfbG
yihS,;yihS,Cellobiose 2-epimerase;Sulfoquinovose isomerase,yihS
gltI,gltI,Glutamate/aspartate import solute-binding protein,gltI
nosF,nosF,putative ABC transporter ATP-binding protein NosF,nosF
kdpD,;kdpD,hypothetical protein;Sensor protein KdpD,kdpD
bicA,bicA,Bicarbonate transporter BicA,bicA
rip3,;rip3,hypothetical protein;Putative zinc metalloprotease Rip3,rip3
nadC,nadC,Nicotinate-nucleotide pyrophosphorylase [carboxylating],nadC
gshAB,gshAB,Glutathione biosynthesis bifunctional protein GshAB,gshAB
fumC,;fumC,hypothetical protein;Fumarate hydratase class II,fumC
ant1,ant1,Streptomycin 3''-adenylyltransferase,ant1
cycM,cycM,Cytochrome c-552,cycM
otnK,otnK,3-oxo-tetronate kinase,otnK
mhqO,;mhqO,hypothetical protein;Putative ring-cleaving dioxygenase MhqO,mhqO
pta,;pta,hypothetical protein;Phosphate acetyltransferase,pta
rbn,;rbn,hypothetical protein;Ribonuclease BN,rbn
fdxB,fdxB;,Ferredoxin-3;hypothetical protein,fdxB
btuD_10,;btuD_10,hypothetical protein;Vitamin B12 import ATP-binding protein BtuD,btuD
ves,;ves,hypothetical protein;Protein Ves,ves
prsD_2,prsD_2;,Type I secretion system ATP-binding protein PrsD;hypothetical protein,prsD
yokD,;yokD,hypothetical protein;SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD,yokD
hchA_2,hchA_2,Protein/nucleic acid deglycase HchA,hchA
dmlR_5,;dmlR_5,hypothetical protein;HTH-type transcriptional regulator DmlR,dmlR
fdoH,fdoH,Formate dehydrogenase-O iron-sulfur subunit,fdoH
ydcS,;ydcS,hypothetical protein;Bifunctional polyhydroxybutyrate synthase / ABC transporter periplasmic binding protein,ydcS
gcvA_4,;gcvA_4,hypothetical protein;Glycine cleavage system transcriptional activator,gcvA
puuD,puuD,Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD,puuD
hldD_3,;hldD_3,hypothetical protein;ADP-L-glycero-D-manno-heptose-6-epimerase,hldD
hflC,hflC;,Modulator of FtsH protease HflC;hypothetical protein,hflC
gbuC,;gbuC,hypothetical protein;Glycine betaine/carnitine transport binding protein GbuC,gbuC
ttgB,ttgB;,putative efflux pump membrane transporter TtgB;hypothetical protein,ttgB
pgk,pgk;,Phosphoglycerate kinase;hypothetical protein,pgk
mshA_14,;mshA_14,hypothetical protein;D-inositol-3-phosphate glycosyltransferase,mshA
cca,;cca,hypothetical protein;CCA-adding enzyme,cca
araN,;araN,hypothetical protein;putative arabinose-binding protein,araN
preA,preA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,preA
dadD,;dadD,8-oxoguanine deaminase;hypothetical protein;5'-deoxyadenosine deaminase,dadD
folD_2,;folD_2,hypothetical protein;Bifunctional protein FolD protein,folD
siaM_2,;siaM_2,hypothetical protein;Sialic acid TRAP transporter large permease protein SiaM,siaM
lfrA_2,lfrA_2,Multidrug efflux pump LfrA,lfrA
lyx,lyx;,L-xylulose/3-keto-L-gulonate kinase;hypothetical protein,lyx
pdxB,;pdxB,Hydroxypyruvate reductase;Erythronate-4-phosphate dehydrogenase;hypothetical protein,pdxB
dctM_8,;dctM_8,hypothetical protein;C4-dicarboxylate TRAP transporter large permease protein DctM,dctM
recJ,recJ;,Single-stranded-DNA-specific exonuclease RecJ;hypothetical protein,recJ
dnaX_2,;dnaX_2,hypothetical protein;DNA polymerase III subunit tau,dnaX
nfdA_1,nfdA_1,N-substituted formamide deformylase,nfdA
recG,recG;,ATP-dependent DNA helicase RecG;hypothetical protein,recG
katG,katG,Catalase-peroxidase,katG
glnE,glnE;,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme;hypothetical protein,glnE
mshA_3,;mshA_3,hypothetical protein;D-inositol-3-phosphate glycosyltransferase,mshA
rne,;rne,hypothetical protein;Ribonuclease E,rne
zntB,;zntB,hypothetical protein;Zinc transport protein ZntB,zntB
ctaB,ctaB,Protoheme IX farnesyltransferase,ctaB
fdhC_2,;fdhC_2,hypothetical protein;Fructose dehydrogenase cytochrome subunit,fdhC
cysN,cysN;,Sulfate adenylyltransferase subunit 1;hypothetical protein,cysN
yliI_2,;yliI_2,hypothetical protein;Aldose sugar dehydrogenase YliI,yliI
siaP_1,;siaP_1,hypothetical protein;Sialic acid-binding periplasmic protein SiaP,siaP
bmaC,bmaC;,Adhesin BmaC autotransporter;hypothetical protein,bmaC
pat,;pat,hypothetical protein;Peptidyl-lysine N-acetyltransferase Pat,pat
yhjE_1,;yhjE_1,hypothetical protein;Inner membrane metabolite transport protein YhjE,yhjE
aatA,aatA,Aspartate/prephenate aminotransferase,aatA
eamA,;eamA,hypothetical protein;putative amino-acid metabolite efflux pump,eamA
groL2,groL2,60 kDa chaperonin 2,groL2
phoD,phoD;,Alkaline phosphatase D;hypothetical protein,phoD
cnbH_2,cnbH_2,2-amino-5-chloromuconic acid deaminase,cnbH
tam_1,;tam_1,hypothetical protein;Trans-aconitate 2-methyltransferase,tam
ftsP,;ftsP,hypothetical protein;Cell division protein FtsP,ftsP
atpF_1,;atpF_1,hypothetical protein;ATP synthase subunit b,atpF
fdhD,;fdhD,hypothetical protein;Sulfur carrier protein FdhD,fdhD
mcl2,mcl2,(3S)-malyl-CoA thioesterase,mcl2
yddA,yddA,Inner membrane ABC transporter ATP-binding protein YddA,yddA
isdG,;isdG,hypothetical protein;Heme oxygenase (staphylobilin-producing),isdG
soxA_2,;soxA_2,hypothetical protein;Sarcosine oxidase subunit alpha,soxA
ecfG_1,ecfG_1,ECF RNA polymerase sigma factor EcfG,ecfG
napF,napF,Ferredoxin-type protein NapF,napF
rpoD,rpoD,RNA polymerase sigma factor RpoD,rpoD
mhqA,;mhqA,hypothetical protein;Putative ring-cleaving dioxygenase MhqA,mhqA
ramA,ramA,(R)-stereoselective amidase,ramA
phaC,;phaC,hypothetical protein;Poly(3-hydroxyalkanoate) polymerase subunit PhaC,phaC
alaC,alaC,Glutamate-pyruvate aminotransferase AlaC,alaC
eno,eno,Enolase,eno
sigF,;sigF,hypothetical protein;ECF RNA polymerase sigma factor SigF,sigF
pucA,;pucA,hypothetical protein;putative xanthine dehydrogenase subunit A,pucA
nqrF_2,nqrF_2;,Na(+)-translocating NADH-quinone reductase subunit F;hypothetical protein,nqrF
yfkN_2,;yfkN_2,hypothetical protein;Trifunctional nucleotide phosphoesterase protein YfkN,yfkN
mrpE,mrpE;,Na(+)/H(+) antiporter subunit E;hypothetical protein,mrpE
fliF,;fliF,hypothetical protein;Flagellar M-ring protein,fliF
rplJ,rplJ;,50S ribosomal protein L10;hypothetical protein,rplJ
znuA,znuA,High-affinity zinc uptake system protein ZnuA,znuA
xynB,xynB,Beta-xylosidase,xynB
degP,degP;,Periplasmic serine endoprotease DegP;hypothetical protein,degP
hilA,hilA;,Transcriptional regulator HilA;hypothetical protein,hilA
qorB,qorB,Quinone oxidoreductase 2,qorB
aes,aes,Acetyl esterase,aes
yjbI,;yjbI,hypothetical protein;Group 2 truncated hemoglobin YjbI,yjbI
pntAA,pntAA,NAD(P) transhydrogenase subunit alpha part 1,pntAA
pepE,;pepE,hypothetical protein;Methionine aminopeptidase 1 mitochondrial;putative dipeptidase PepE;putative peptidase,pepE
lnt,lnt,Apolipoprotein N-acyltransferase,lnt
hisS,hisS;,Histidine--tRNA ligase;hypothetical protein,hisS
yedA,;yedA,hypothetical protein;putative inner membrane transporter YedA,yedA
sdaA,sdaA,L-serine dehydratase,sdaA
ftsE,ftsE,Cell division ATP-binding protein FtsE,ftsE
rsmH,rsmH,Ribosomal RNA small subunit methyltransferase H,rsmH
fdhC_1,;fdhC_1,hypothetical protein;Fructose dehydrogenase cytochrome subunit,fdhC
yidD,yidD,Putative membrane protein insertion efficiency factor,yidD
fcl,;fcl,hypothetical protein;GDP-L-fucose synthase,fcl
yedK,yedK,SOS response-associated protein YedK,yedK
ald_2,ald_2,Alanine dehydrogenase,ald
murJ,murJ;,putative lipid II flippase MurJ;hypothetical protein;lipid II flippase MurJ,murJ
lpxA,lpxA;,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase;hypothetical protein,lpxA
mtgA_2,;mtgA_2,hypothetical protein;Biosynthetic peptidoglycan transglycosylase,mtgA
ycf3,ycf3,Photosystem I assembly protein Ycf3,ycf3
accC,accC;,Biotin carboxylase;hypothetical protein,accC
nrsF,nrsF;,Anti-sigma-F factor NrsF;hypothetical protein,nrsF
nuoJ_1,;nuoJ_1,hypothetical protein;NADH-quinone oxidoreductase subunit J,nuoJ
moeA,moeA,Molybdopterin molybdenumtransferase,moeA
gatB,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,gatB
dgcT,dgcT;,putative diguanylate cyclase DgcT;hypothetical protein,dgcT
msrB_3,msrB_3,Peptide methionine sulfoxide reductase MsrB,msrB
adiC,adiC,Arginine/agmatine antiporter,adiC
tlyC,;tlyC,hypothetical protein;Hemolysin C,tlyC
ligE,ligE,Beta-etherase,ligE
bfr,bfr,Bacterioferritin,bfr
flgH,flgH,Flagellar L-ring protein,flgH
thrC,thrC;,Threonine synthase;hypothetical protein,thrC
dnaQ,;dnaQ,hypothetical protein;DNA polymerase III subunit epsilon,dnaQ
aacA4_1,;aacA4_1,hypothetical protein;Aminoglycoside N(6')-acetyltransferase type 1,aacA4
apbE,;apbE,hypothetical protein;FAD:protein FMN transferase,apbE
OSGEPL1,;OSGEPL1,hypothetical protein;tRNA N6-adenosine threonylcarbamoyltransferase mitochondrial,OSGEPL1
fdxA,fdxA,Ferredoxin-2,fdxA
emrA_2,emrA_2;,Colistin resistance protein EmrA;hypothetical protein,emrA
gloA,;gloA,hypothetical protein;Lactoylglutathione lyase,gloA
secY,secY,Protein translocase subunit SecY,secY
pyrF,pyrF,Orotidine 5'-phosphate decarboxylase,pyrF
iolS,;iolS,hypothetical protein;Aldo-keto reductase IolS,iolS
macB,macB,Macrolide export ATP-binding/permease protein MacB,macB
ywlC,ywlC;,Threonylcarbamoyl-AMP synthase;hypothetical protein,ywlC
cinA,cinA,Putative competence-damage inducible protein,cinA
menH_1,menH_1,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase,menH
bioY,bioY,Biotin transporter BioY,bioY
lysS,lysS,Lysine--tRNA ligase,lysS
pdeA,pdeA,putative cyclic di-GMP phosphodiesterase PdeA,pdeA
acnA,acnA,Aconitate hydratase A,acnA
gyrA,gyrA,DNA gyrase subunit A,gyrA
cmoA,cmoA,Carboxy-S-adenosyl-L-methionine synthase,cmoA
yhaJ,;yhaJ,hypothetical protein;HTH-type transcriptional regulator YhaJ,yhaJ
todT_2,todT_2,Response regulator protein TodT,todT
dprE1,dprE1,Decaprenylphosphoryl-beta-D-ribose oxidase,dprE1
klcA,;klcA,hypothetical protein;Antirestriction protein KlcA,klcA
hisA,hisA;,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase;hypothetical protein,hisA
ydjG,;ydjG,hypothetical protein;NADH-specific methylglyoxal reductase,ydjG
norG,norG,HTH-type transcriptional regulator NorG,norG
ureE1,ureE1,Urease accessory protein UreE 1,ureE1
ycnJ,ycnJ;,Copper transport protein YcnJ;hypothetical protein,ycnJ
glcB,glcB,Malate synthase G,glcB
dinG,dinG,3'-5' exonuclease DinG,dinG
cbbX,cbbX,Protein CbbX,cbbX
ppk,;ppk,hypothetical protein;Polyphosphate kinase,ppk
dnaA_1,dnaA_1,Chromosomal replication initiator protein DnaA,dnaA
sasA_4,sasA_4,Adaptive-response sensory-kinase SasA,sasA
hrcA,hrcA,Heat-inducible transcription repressor HrcA,hrcA
yfcA,;yfcA,hypothetical protein;putative membrane transporter protein YfcA,yfcA
phnG,phnG,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG,phnG
nagK,nagK;,N-acetyl-D-glucosamine kinase;hypothetical protein,nagK
rpe_2,rpe_2,Ribulose-phosphate 3-epimerase,rpe
vat_2,vat_2,Virginiamycin A acetyltransferase,vat
luxA,;luxA,hypothetical protein;Alkanal monooxygenase alpha chain,luxA
clpA,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA,clpA
malE,;malE,hypothetical protein;Maltose/maltodextrin-binding periplasmic protein,malE
cysK,;cysK,hypothetical protein;Cysteine synthase,cysK
yibF,yibF;,putative GST-like protein YibF;hypothetical protein,yibF
csxA,;csxA,hypothetical protein;Exo-beta-D-glucosaminidase,csxA
aspC_1,aspC_1,Aspartate/prephenate aminotransferase,aspC
pldB,;pldB,hypothetical protein;Lysophospholipase L2,pldB
xsc,;xsc,hypothetical protein;Sulfoacetaldehyde acetyltransferase,xsc
dppA_2,;dppA_2,hypothetical protein;Periplasmic dipeptide transport protein,dppA
FCS1,FCS1;,Trans-feruloyl-CoA synthase FCS1;hypothetical protein,FCS1
ung,;ung,Uracil-DNA glycosylase,ung
ptsJ_1,;ptsJ_1,hypothetical protein;Vitamin B6 salvage pathway transcriptional repressor PtsJ,ptsJ
catI,catI;,3-oxoadipate CoA-transferase subunit A;hypothetical protein,catI
alsK,;alsK,hypothetical protein;D-allose kinase,alsK
phoU,phoU,Phosphate-specific transport system accessory protein PhoU,phoU
hemE,hemE,Uroporphyrinogen decarboxylase,hemE
puuB_5,;puuB_5,hypothetical protein;Gamma-glutamylputrescine oxidoreductase,puuB
sugC_1,sugC_1,Trehalose import ATP-binding protein SugC,sugC
pgdA,pgdA;,Peptidoglycan deacetylase;hypothetical protein,pgdA
hchA_1,hchA_1,Protein/nucleic acid deglycase HchA;Protein/nucleic acid deglycase 1,hchA
lacF_6,;lacF_6,hypothetical protein;Lactose transport system permease protein LacF,lacF
ycdX,ycdX,phosphatase YcdX,ycdX
glnP_1,glnP_1,Glutamine transport system permease protein GlnP,glnP
arnB,arnB,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,arnB
metB,metB,Cystathionine gamma-synthase,metB
ugpB_1,;ugpB_1,hypothetical protein;sn-glycerol-3-phosphate-binding periplasmic protein UgpB,ugpB
dppE,;dppE,hypothetical protein;Dipeptide-binding protein DppE,dppE
hypBA1,;hypBA1,hypothetical protein;Non-reducing end beta-L-arabinofuranosidase,hypBA1
braC,braC,Leucine- isoleucine- valine- threonine- and alanine-binding protein,braC
yfiC,yfiC,tRNA1(Val) (adenine(37)-N6)-methyltransferase,yfiC
luxR,luxR,Transcriptional activator protein LuxR,luxR
glmM,glmM,Phosphoglucosamine mutase,glmM
sufS,sufS;,Cysteine desulfurase;hypothetical protein,sufS
panB_2,panB_2,3-methyl-2-oxobutanoate hydroxymethyltransferase,panB
ngcG_6,;ngcG_6,hypothetical protein;Diacetylchitobiose uptake system permease protein NgcG,ngcG
ctaG,ctaG,Cytochrome c oxidase assembly protein CtaG,ctaG
glpQ,;glpQ,hypothetical protein;Glycerophosphodiester phosphodiesterase,glpQ
cynT,;cynT,hypothetical protein;Carbonic anhydrase 1,cynT
dnaJ_2,dnaJ_2,Chaperone protein DnaJ,dnaJ
rsmD,;rsmD,hypothetical protein;Ribosomal RNA small subunit methyltransferase D,rsmD
araC_2,araC_2,L-arabonate dehydratase,araC
ku_2,ku_2,Non-homologous end joining protein Ku,ku
uspF,uspF,Universal stress protein F,uspF
lacE,lacE,Lactose-binding protein,lacE
rlpA_2,rlpA_2,Endolytic peptidoglycan transglycosylase RlpA,rlpA
allE,allE;,(S)-ureidoglycine aminohydrolase;hypothetical protein,allE
glnA_1,glnA_1,Glutamine synthetase,glnA
mtaB,mtaB,Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB,mtaB
bpt,bpt,Aspartate/glutamate leucyltransferase,bpt
pucL,;pucL,hypothetical protein;Uric acid degradation bifunctional protein PucL,pucL
ctaA,ctaA,Heme A synthase,ctaA
dppA_7,;dppA_7,hypothetical protein;Periplasmic dipeptide transport protein,dppA
araD,;araD,hypothetical protein;L-2-keto-3-deoxyarabonate dehydratase,araD
cimA,cimA,(R)-citramalate synthase,cimA
kbaZ,kbaZ;,D-tagatose-16-bisphosphate aldolase subunit KbaZ;D-tagatose 6-phosphate 4-epimerase,kbaZ
codA,codA,Cytosine deaminase,codA
ttcA,ttcA,tRNA-cytidine(32) 2-sulfurtransferase,ttcA
hss,hss,Homospermidine synthase,hss
rlmN,rlmN,Dual-specificity RNA methyltransferase RlmN,rlmN
eltP,;eltP,hypothetical protein;Erythritol/L-threitol-binding protein,eltP
yitJ_1,;yitJ_1,hypothetical protein;Bifunctional homocysteine S-methyltransferase/510-methylenetetrahydrofolate reductase,yitJ
pspA,pspA,Phosphoserine phosphatase 1,pspA
hisI,hisI,Phosphoribosyl-AMP cyclohydrolase,hisI
sgrR_1,;sgrR_1,hypothetical protein;HTH-type transcriptional regulator SgrR,sgrR
codA_2,;codA_2,hypothetical protein;Cytosine deaminase,codA
ruvC,ruvC,Crossover junction endodeoxyribonuclease RuvC,ruvC
fdoI,fdoI,Formate dehydrogenase cytochrome b556(fdo) subunit,fdoI
proX,;proX,hypothetical protein;Prolyl-tRNA editing protein ProX,proX
msrA,msrA,Peptide methionine sulfoxide reductase MsrA,msrA
alkB,;alkB,hypothetical protein;Alpha-ketoglutarate-dependent dioxygenase AlkB,alkB
dnaJ_3,;dnaJ_3,hypothetical protein;Chaperone protein DnaJ,dnaJ
ydjA,;ydjA,hypothetical protein;Putative NAD(P)H nitroreductase YdjA,ydjA
rhaR_8,;rhaR_8,hypothetical protein;HTH-type transcriptional activator RhaR,rhaR
flgE,;flgE,hypothetical protein;Flagellar hook protein FlgE,flgE
ftcR,ftcR,Flagellar transcriptional regulator FtcR,ftcR
lsrD_2,lsrD_2;,Autoinducer 2 import system permease protein LsrD;hypothetical protein;L-ribulose 3-epimerase,lsrD
gtaB_1,gtaB_1;,UTP--glucose-1-phosphate uridylyltransferase;hypothetical protein,gtaB
frmR,frmR,Transcriptional repressor FrmR,frmR
gstB_2,gstB_2,Glutathione S-transferase GST-6.0,gstB
qmcA,qmcA,Protein QmcA,qmcA
msbA_2,;msbA_2,Putative multidrug export ATP-binding/permease protein;Lipid A export ATP-binding/permease protein MsbA,msbA
rihB_2,;rihB_2,hypothetical protein;Pyrimidine-specific ribonucleoside hydrolase RihB,rihB
znuC,;znuC,hypothetical protein;Zinc import ATP-binding protein ZnuC,znuC
lolE_1,lolE_1,Lipoprotein-releasing system transmembrane protein LolE,lolE
ispDF,ispDF,Bifunctional enzyme IspD/IspF,ispDF
glnL,;glnL,hypothetical protein;Sensory histidine kinase/phosphatase NtrB,glnL
takP,;takP,hypothetical protein;Alpha-keto acid-binding periplasmic protein TakP,takP
sasA_3,;sasA_3,hypothetical protein;Adaptive-response sensory-kinase SasA,sasA
tgnC,tgnC,(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase,tgnC
cpoB_1,cpoB_1;,Cell division coordinator CpoB;hypothetical protein,cpoB
nqo3,nqo3,NADH-quinone oxidoreductase chain 3,nqo3
cobN,cobN,Aerobic cobaltochelatase subunit CobN,cobN
fecI,fecI,putative RNA polymerase sigma factor FecI,fecI
catM,catM,HTH-type transcriptional regulator CatM,catM
zupT,zupT;,Zinc transporter ZupT;hypothetical protein,zupT
folD_1,folD_1,Bifunctional protein FolD protein,folD
moaB,;moaB,hypothetical protein;Molybdenum cofactor biosynthesis protein B,moaB
tgt,tgt,Queuine tRNA-ribosyltransferase,tgt
psuK,psuK,Pseudouridine kinase,psuK
tdk,tdk,Thymidine kinase,tdk
rnd_1,rnd_1,Ribonuclease D,rnd
gpsA,gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+],gpsA
potB_6,potB_6;,Spermidine/putrescine transport system permease protein PotB;hypothetical protein,potB
mftE,;mftE,hypothetical protein;Putative mycofactocin system creatinine amidohydrolase family protein MftE,mftE
ompA,;ompA,hypothetical protein;Outer membrane protein A,ompA
scpB_1,scpB_1,Segregation and condensation protein B,scpB
malT,malT,HTH-type transcriptional regulator MalT,malT
ampR,ampR,HTH-type transcriptional activator AmpR,ampR
ndvA,ndvA,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA,ndvA
mhqD,mhqD,Putative hydrolase MhqD,mhqD
map_1,map_1,Methionine aminopeptidase,map
osmX,osmX,Osmoprotectant-binding protein OsmX,osmX
yedJ,yedJ,putative protein YedJ,yedJ
dxs_3,dxs_3;,1-deoxy-D-xylulose-5-phosphate synthase;hypothetical protein,dxs
novR,novR;,Decarboxylase NovR;hypothetical protein,novR
radA,radA,DNA repair protein RadA,radA
dauR,dauR,Transcriptional regulator DauR,dauR
tmk,tmk,Thymidylate kinase,tmk
gntK,gntK;,Thermoresistant gluconokinase;hypothetical protein,gntK
pepA_1,pepA_1,Cytosol aminopeptidase,pepA
cph2,cph2;,Phytochrome-like protein cph2;hypothetical protein,cph2
bglA,bglA,Beta-glucosidase,bglA
htpG,htpG,Chaperone protein HtpG,htpG
mltC,mltC,Membrane-bound lytic murein transglycosylase C,mltC
fabF_1,;fabF_1,hypothetical protein;3-oxoacyl-[acyl-carrier-protein] synthase 2,fabF
ywnA_1,;ywnA_1,hypothetical protein;Putative HTH-type transcriptional regulator YwnA,ywnA
fliC,fliC,Flagellin,fliC
hppA,hppA,K(+)-insensitive pyrophosphate-energized proton pump,hppA
rclR,;rclR,IS5 family transposase IS4811;RCS-specific HTH-type transcriptional activator RclR,rclR
dmdC_2,dmdC_2,3-methylmercaptopropionyl-CoA dehydrogenase,dmdC
ndhJ,ndhJ,NAD(P)H-quinone oxidoreductase subunit J chloroplastic,ndhJ
xylG_1,xylG_1,Xylose import ATP-binding protein XylG,xylG
lutA,lutA,Lactate utilization protein A,lutA
trpA,trpA,Tryptophan synthase alpha chain,trpA
epsL_1,epsL_1,putative sugar transferase EpsL,epsL
ynjC,;ynjC,hypothetical protein;Inner membrane ABC transporter permease protein YnjC,ynjC
rafR_2,;rafR_2,hypothetical protein;HTH-type transcriptional regulator RafR,rafR
recR,recR,Recombination protein RecR,recR
cpnA,cpnA,Cyclopentanol dehydrogenase,cpnA
sufD,sufD,FeS cluster assembly protein SufD,sufD
argP_1,;argP_1,hypothetical protein;HTH-type transcriptional regulator ArgP,argP
phnC,phnC,Phosphate-import ATP-binding protein PhnC,phnC
yhgF,yhgF,Protein YhgF,yhgF
nudL,nudL,putative Nudix hydrolase NudL,nudL
acpP_3,acpP_3,Acyl carrier protein;Acyl carrier protein AcpP,acpP
allA_1,allA_1,Ureidoglycolate lyase,allA
glnM_1,glnM_1;,putative glutamine ABC transporter permease protein GlnM;hypothetical protein,glnM
trmB,trmB,tRNA (guanine-N(7)-)-methyltransferase,trmB
nicS_2,nicS_2,HTH-type transcriptional repressor NicS,nicS
zwf,zwf,Glucose-6-phosphate 1-dehydrogenase,zwf
udg,udg;,Type-4 uracil-DNA glycosylase;hypothetical protein,udg
valS,valS,Valine--tRNA ligase,valS
cobA,cobA,Uroporphyrinogen-III C-methyltransferase,cobA
pyrE_1,;pyrE_1,hypothetical protein;Orotate phosphoribosyltransferase,pyrE
nrdR,nrdR,Transcriptional repressor NrdR,nrdR
hrpB,hrpB,ATP-dependent RNA helicase HrpB,hrpB
